Timecode,Content
"00:00:06,466 --> 00:00:28,953",[Music] Schafer: You know you got drunk when the next morning
"00:00:28,960 --> 00:00:31,860","you're just starting to think of things that you said, no."
"00:00:33,380 --> 00:00:36,973",I have this memory just walking down the street yelling and screaming the entire time.
"00:00:39,780 --> 00:00:41,740",Schafer: I love Chinatown.
"00:00:42,880 --> 00:01:19,340",[Music] Schafer: Did you see how many pages I got done?
"00:01:20,520 --> 00:01:24,560",So far I've got actual writing.
"00:01:24,880 --> 00:01:27,580",This writing paid for by Kickstarter.
"00:01:27,980 --> 00:01:30,760","So, it's a book. It's coming along. We came up with a code name."
"00:01:30,800 --> 00:01:32,840",Do you want to ask questions or should I just start talking?
"00:01:33,760 --> 00:01:38,120",Rice: DF adventure. Budget.
"00:01:39,340 --> 00:01:43,900",Schafer: Budget? We need that. We might not need that.
"00:01:44,540 --> 00:01:45,880",I think we can have food.
"00:01:46,320 --> 00:01:48,100",Launch event.
"00:01:48,500 --> 00:01:50,033",I hate to cut the launch event.
"00:01:50,060 --> 00:01:52,560",That much for PAX Prime really? Rice: Um hm.
"00:01:52,560 --> 00:01:55,494","Schafer: I mean that, we might not need that."
"00:01:55,500 --> 00:02:00,300",Let's just say if we're being really bare bones on some of this stuff.
"00:02:00,300 --> 00:02:02,460",Rice: We're cutting so much stuff right now.
"00:02:04,280 --> 00:02:06,079","Rice: Ah, it's the things that like..."
"00:02:06,080 --> 00:02:08,080",Schafer: Greg thought of... Everything I thought of is in.
"00:02:08,080 --> 00:02:09,212",Everything Greg thought of is out.
"00:02:09,220 --> 00:02:15,681",Rice: Yeah. So I was being really conservative on like trying to figure out stuff outside of just paying the members of the team
"00:02:15,681 --> 00:02:17,180",that we might need to pay for.
"00:02:17,180 --> 00:02:21,346",And some of that stuff might not be necessary.
"00:02:21,346 --> 00:02:22,214",So it's...
"00:02:22,220 --> 00:02:23,480","Schafer: Well, it's tight for me."
"00:02:23,480 --> 00:02:27,586","I mean, it's tight for me in terms of like the number of people we have on the team."
"00:02:27,586 --> 00:02:29,806",Like I wish we had more programmers.
"00:02:30,340 --> 00:02:31,674",So if we did that.
"00:02:31,680 --> 00:02:39,020","So if we cut out all those, some of those things, we'd have like another $100,000, which would be um..."
"00:02:39,020 --> 00:02:40,240",some programmer time.
"00:02:40,240 --> 00:02:40,740",Rice: Yeah.
"00:02:44,080 --> 00:02:46,780",Schafer: OK. All right.
"00:02:46,780 --> 00:02:49,180",And then we have how long to actually make the production.
"00:02:50,200 --> 00:02:51,740",'Til next November.
"00:02:51,740 --> 00:02:54,040",Next November's like infinity far away.
"00:02:54,180 --> 00:02:55,320",Rice: It's pretty far.
"00:02:55,760 --> 00:02:58,427",Schafer: We could do eight games in that time. It sounds so long.
"00:02:58,640 --> 00:03:00,306",Cut to November.
"00:03:00,360 --> 00:03:02,800",What? The game isn't started yet?
"00:03:04,800 --> 00:03:05,540",Wait.
"00:03:06,700 --> 00:03:08,500","Done with that. We're in Alpha, oh."
"00:03:08,500 --> 00:03:10,633",November this year? Rice: Yeah.
"00:03:10,760 --> 00:03:13,560","Schafer: We can't do that, it's crazy. That's insane."
"00:03:13,560 --> 00:03:15,060",We're starting in November next year. Rice: No.
"00:03:15,060 --> 00:03:16,060",Schafer: That sounds good.
"00:03:16,060 --> 00:03:18,459",Rice: That would be a year and a half.
"00:03:18,460 --> 00:03:21,540","Schafer: November this year, oh, that's much closer."
"00:03:21,580 --> 00:03:24,800",Rice: I mean that gives us uhh...
"00:03:25,720 --> 00:03:27,540","five, five whole months of production."
"00:03:27,540 --> 00:03:29,040",Schafer: Five whole months of production?
"00:03:30,720 --> 00:03:31,980",Oh my God.
"00:03:31,980 --> 00:03:36,520","Schafer: Well, I'm in an interesting position now because I'm running the company and I'm running a project."
"00:03:36,520 --> 00:03:43,661","So on the one hand I'm just, I'm equal to the other project leaders and I can't really abuse my ability to like pick up resource up"
"00:03:43,661 --> 00:03:44,959",and put them on a different project.
"00:03:44,960 --> 00:03:47,859","But I do when they're not looking, so that's fine."
"00:03:47,860 --> 00:03:49,640",All for the good of the project.
"00:03:52,540 --> 00:03:55,900","Team Member: Ostensibly, we going to take somebody off your team to put them on DFA."
"00:03:56,166 --> 00:03:58,026",And you're going to be short-handed.
"00:03:58,026 --> 00:04:01,386","Schafer: I mean when you're project leader, you have to kind of fight for your team."
"00:04:01,386 --> 00:04:02,847","I mean, it's a fight for resources."
"00:04:02,847 --> 00:04:08,200",And you care about the company overall but you still know that to make your game good you should get the best people on it.
"00:04:08,200 --> 00:04:10,733","And so you kind of, you have to do a little recruiting."
"00:04:10,740 --> 00:04:15,040","You have to talk to them, you know, outside of meetings and stuff and be like, hey, are you interested?"
"00:04:15,040 --> 00:04:17,040","I think we know you'd be, this would be a good opportunity to you."
"00:04:17,040 --> 00:04:23,267","You could, you know, you'd be moving up or you'd be taking on more responsibility or we're doing this really cool kind of art or something like that."
"00:04:23,267 --> 00:04:25,587",Get people excited about it.
"00:04:26,060 --> 00:04:30,393","And mostly we just said that we're doing this project and most people like Anna and Brandon, you know,"
"00:04:30,400 --> 00:04:32,734",mentioned to me they wanted to work on it.
"00:04:32,740 --> 00:04:36,740",Dillon: I mean I was big gamer when I was a kid.
"00:04:36,740 --> 00:04:41,106",But like adventure games were always kind of special to me in particular.
"00:04:41,106 --> 00:04:45,593","The fact that I wound up, you know, in a configuration where I could get to work on an adventure game with, you know,"
"00:04:45,600 --> 00:04:47,701",with my favorite adventure game designer.
"00:04:47,701 --> 00:04:50,161",It's just crazy and still kind of mind-boggling.
"00:04:51,200 --> 00:04:58,947","Schafer: And because the schedule is so tight on DFA and it's got such a small budget, that's, that is a bit of worry, too."
"00:05:07,640 --> 00:05:08,600",Offscreen Voice: Holy shit!
"00:05:14,433 --> 00:05:16,500","Schafer: I'm nervous, though. Offscreen Voice: Why are you nervous?"
"00:05:16,500 --> 00:05:21,480",Schafer: 'Cause I really want Brandon on the team.
"00:05:21,480 --> 00:05:23,547",And so do the other teams.
"00:05:23,547 --> 00:05:28,834","So if he does something really awesome, I'm just going to get sad if we then don't get him on the team."
"00:05:29,040 --> 00:05:34,040",Dillon: So basically over the weekend I just wanted to prototype some tools work.
"00:05:34,040 --> 00:05:36,640","Schafer: Me, too. I just had, it was Easter."
"00:05:36,640 --> 00:05:38,320",I didn't get around to it.
"00:05:38,320 --> 00:05:41,240",Dillon: This is how I celebrate Easter. Schafer: It's beautiful.
"00:05:41,240 --> 00:05:44,720",Dillon: So I'll show you my super-awesome adventure game here.
"00:05:44,720 --> 00:05:45,753",Schafer: Oh my God.
"00:05:45,840 --> 00:05:49,480",Schafer: I didn't know you could draw. Incredible.
"00:05:49,480 --> 00:05:52,420","Dillon: Yeah, yeah. And I feel like we're basically done."
"00:05:52,860 --> 00:05:54,993","Schafer: Yeah, we just got to art this up."
"00:05:55,000 --> 00:05:58,574","Dillon: And so like I started with the classic data editing thing, which is walk boxes."
"00:05:58,580 --> 00:06:01,713","And so like got a little, you know, a walk box here."
