"Timecode","Content"
"00:00:24,600 --> 00:00:25,700","Bailey: Directed towards, yeah."
"00:00:34,840 --> 00:00:35,555","Well, it's complicated."
"00:00:35,560 --> 00:00:44,439","Like that's, that is the question, that was my question for me and like, I mean a definite like, I'm definitely looking for a solution like this"
"00:00:44,440 --> 00:00:53,890","in order to not have the game, you know, come out, you know, a year from now and, because I don't know where that money will come from"
"00:00:53,890 --> 00:00:55,550","and what we'll have to do to get it."
"00:00:55,820 --> 00:01:25,620","[Music] Schafer: Anything else happen with Broken Age last week during GDC?"
"00:01:25,620 --> 00:01:26,856","Kipnis: Nice work hosting there."
"00:01:26,860 --> 00:01:27,655","Schafer: Thank you, thank you."
"00:01:27,660 --> 00:01:29,100","Thank you, thank you."
"00:01:29,100 --> 00:01:31,640","Schafer: But what is beauty in a game?"
"00:01:32,040 --> 00:01:35,211","Is it the most realistic depiction of a human?"
"00:01:35,220 --> 00:01:39,170","Is it some sort of expressive stylized perspective on a reality?"
"00:01:39,170 --> 00:01:41,092","Is it, it is polygon count?"
"00:01:41,382 --> 00:01:44,142","The answer is polygon count."
"00:01:44,142 --> 00:01:46,162","OK. Awesome. Well, great."
"00:01:46,162 --> 00:01:51,440","Now that that is settled let's check out these nominees for the award for Best Visual Arts."
"00:01:53,240 --> 00:01:54,944","Schafer: I'm just glad that was over."
"00:01:54,944 --> 00:01:58,170","Petty: The Advisory Board, all, even people like Chris Hecker said you were really good."
"00:01:58,170 --> 00:01:59,537","Schafer: Even Chris Hecker?"
"00:01:59,540 --> 00:02:03,740","Kipnis: Even Chris, Schafer: He didn't say I was like two Cliffy B's taped together or anything like that?"
"00:02:04,757 --> 00:02:08,661","Chris Hecker joke. No."
"00:02:08,661 --> 00:02:10,761","That's a really insider thing."
"00:02:24,065 --> 00:02:30,954","[Applause] Team Member: And then Greg doing work with Broken Age"
"00:02:30,954 --> 00:02:35,963","and all the PR stuff around GDC, I think he especially liked seeing that trailer roll out."
"00:02:35,963 --> 00:02:37,068","It kind of gave me chills."
"00:02:37,068 --> 00:02:37,988","It was cool, Greg."
"00:02:37,988 --> 00:02:38,780","Schafer: That was awesome."
"00:02:38,780 --> 00:02:42,977","And in our forums it was like, it was funny to see how many people were touched by the line about the 90,000 closest friends."
"00:02:43,473 --> 00:02:45,504","Like a lot of people were like, I was crying when I saw that."
"00:02:45,504 --> 00:02:47,884","And I was like, oh man, i'm glad we tossed that in there."
"00:02:47,884 --> 00:02:56,551","I didn't think... Bailey: Yeah, after the trailer's released, just watching the reaction of the crowd, it was pretty surreal."
"00:02:56,560 --> 00:03:04,692","And you know, I had the benefit of also, I think the viewers had the benefit of watching the reaction of the team, I think was also amazing."
"00:03:04,700 --> 00:03:10,820","So it's right in line with, you know, something big."
"00:03:11,320 --> 00:03:16,160","I think it gave a lot of people chills and you know, I think we're onto something special here."
"00:03:17,301 --> 00:03:19,061","Rice: Yeah, we had a lot of stuff last month."
"00:03:19,061 --> 00:03:21,621","That seems like it was like five months ago, though."
"00:03:22,260 --> 00:03:23,880","But yeah, it was good."
"00:03:24,500 --> 00:03:28,400","It was nice to be able to talk about it publicly, get the game out there a little bit more."
"00:03:28,520 --> 00:03:29,540","People seem excited."
"00:03:30,120 --> 00:03:32,480","Schafer: Thanks for coming, everybody."
"00:03:33,032 --> 00:03:34,779","And are there any backers of our project here?"
"00:03:34,779 --> 00:03:37,479","Backers? [Cheering]."
"00:03:37,620 --> 00:03:39,109","Rice: I heard nothing but positive things."
"00:03:39,109 --> 00:03:49,429","I even like tried to dig for bad things, like I always do, even though I like hate looking at certain message forums and message boards"
"00:03:49,429 --> 00:03:51,810","and comments in certain websites."
"00:03:51,900 --> 00:03:58,184","But like you do it just to see what people are saying and to know all aspects of what people are saying about the game."
"00:03:58,480 --> 00:04:03,260","And the places that usually people are pretty harsh, they all seemed pretty positive."
"00:04:06,891 --> 00:04:09,451","Schafer: And we're finally on the cover of Game Informer!"
"00:04:09,460 --> 00:04:13,400","What? Batman?"
"00:04:14,260 --> 00:04:15,980","Where is it, where is it?"
