"Timecode","Content"
"00:00:21,840 --> 00:00:23,900","Stapley: Yeah, that's pretty. Pretty colors."
"00:00:27,400 --> 00:00:29,320","Stapley: Yeah, I was looking at the end there."
"00:00:29,980 --> 00:00:33,733","The 20th of September, October, November, December, January, February, March, April."
"00:00:33,800 --> 00:00:35,800","So yeah, everything looks cool here."
"00:00:36,200 --> 00:00:39,760","Yeah, those last three months right there seems like there's going to be a lot of changing."
"00:00:39,760 --> 00:00:44,060","[Laughs} From November to February looks a little crazy."
"00:00:47,760 --> 00:00:52,000","Yeah man. It's going to be pretty nuts."
"00:00:52,240 --> 00:01:51,280","[Music] [quite fantasy music]"
"00:01:53,920 --> 00:01:57,196","Petty: Well, then we need to come up with another plan because right now it's not possible."
"00:01:57,200 --> 00:02:04,878","There's just not, one artist can't be the primary, like he's the, he's the, you know, like literally he's the renderer for every object in the game."
"00:02:04,880 --> 00:02:07,211","And do concept design on the schedule we have."
"00:02:07,211 --> 00:02:11,255","Schafer: I think if I hadn't been through the process before, I'd think the project was falling apart last month."
"00:02:11,255 --> 00:02:15,964","It definitely is a little bit of a tension as you switch gears and you're talking about practical matters."
"00:02:15,964 --> 00:02:20,345","But it wasn't that tense, you know."
"00:02:20,560 --> 00:02:25,102","Petty: For all the artists involved but certainly for Bagel, we're going to have make, you're going to have decide, I guess,"
"00:02:25,120 --> 00:02:29,120","which, what you want the hierarchy of his time to be spent on."
"00:02:29,240 --> 00:02:36,042","[Ambient sci-fi music] Schafer: I want him to come up with both the, you know,"
"00:02:36,042 --> 00:02:42,750","that really just like content and then actual style, both."
"00:02:42,750 --> 00:02:45,704","Petty: There's other options there, that we talked about all those options."
"00:02:45,704 --> 00:02:48,724","I don't think we've committed to one particular solution yet."
"00:02:48,724 --> 00:02:52,684","Rice: I think it's an ongoing conversation, so not really."
"00:03:03,580 --> 00:03:08,768","Schafer: I mean yeah, we're doing, since we're doing a game that's like a different engine type than we've ever done before, it's like 2D."
"00:03:08,768 --> 00:03:16,220","A whole different engine, new devices we'd never worked on and an adventure game, which we would have never made a straight adventure game here at this company."
"00:03:16,220 --> 00:03:20,506","So we're doing so many new things with this project that we're just learning."
"00:03:20,506 --> 00:03:23,867","Every time we try to do something, we find out like that's not going to work."
"00:03:24,160 --> 00:03:27,233","We do have to, of course, correct and try different solutions."
"00:03:28,240 --> 00:03:30,920","But that's totally normal, expected."
"00:03:30,920 --> 00:03:32,960","Offscreen Voice: Don't fuck with my wall."
"00:03:32,960 --> 00:03:37,240","Rice: But I mean, like a lot of it isn't like, there's a problem, we're fucked."
"00:03:37,247 --> 00:03:42,540","It's like we need to pay attention to this and try to start figuring out ways to make it work."
"00:03:42,540 --> 00:03:47,323","And we started thinking about that and feeling more comfortable."
"00:03:47,420 --> 00:03:50,927","Schafer: Well, we have, we brought on Levi and he's helping out."
"00:03:50,940 --> 00:03:55,726","Rice: We have some new people, but like they're getting familiar with everything pretty quickly."
"00:03:55,726 --> 00:03:58,301","Ryken: I was actually, on Friday I was looking at this."
"00:03:59,400 --> 00:04:00,080","Just getting inspired."
"00:04:00,083 --> 00:04:02,383","This is the museum near Tokyo."
"00:04:03,053 --> 00:04:06,853","It's super cool and I went there and I bought that there."
"00:04:06,860 --> 00:04:10,916","And for Friday, I just, the first thing in the morning I was getting inspired looking at that."
"00:04:10,920 --> 00:04:14,120","And then someone was like, you know what?"
"00:04:14,120 --> 00:04:20,879","They're playing a bunch of those right now and apparently for like two weeks they're playing all of those studio Ghibli films."
"00:04:20,880 --> 00:04:23,180","And I'm just going to be there every day."
"00:04:24,774 --> 00:04:26,434","It's happening right now. Yeah."
"00:04:26,440 --> 00:04:32,786","Over the weekend I saw three: I saw Nausicaa, which is like a big inspiration for stuff that we're doing right now."
