"Timecode","Content"
"00:00:35,040 --> 00:00:36,180","Schafer: Mmm, my new notebook."
"00:00:36,180 --> 00:00:38,575","did you notice I brought my old and my new notebooks?"
"00:00:39,395 --> 00:00:41,663","Can you believe I filled this up?"
"00:00:41,663 --> 00:00:46,287","Remember? This old notebook."
"00:00:46,287 --> 00:00:47,682","It's all full."
"00:00:47,682 --> 00:00:50,921","Now there's the design for the last shot in the game."
"00:00:50,921 --> 00:00:53,239","Can't show you, you guys always use those."
"00:00:53,239 --> 00:00:54,400","So yeah, this is the new notebook."
"00:00:54,400 --> 00:01:01,996","And this is kind of a disaster first, because this, I didn't notice until I started it, it's wide ruled, instead of college rule."
"00:01:01,996 --> 00:01:03,736","And this game is definitely college level."
"00:01:03,736 --> 00:01:10,024","But I decided actually this will make me feel like we got a lot more work done, 'cause my free writing will fill up more pages."
"00:01:10,024 --> 00:01:13,733","Yeah, I purposely got white so it'd feel pristine and fresh."
"00:01:13,733 --> 00:01:17,345","It's smaller This is like totally like a baby notebook."
"00:01:17,345 --> 00:01:19,968","It does! It makes me look stupid, doesn't it?"
"00:01:19,968 --> 00:01:23,849","But then again, I'm getting older so it's hard to see stuff."
"00:01:23,849 --> 00:01:25,149","New notebook."
"00:01:26,593 --> 00:01:55,112","[Music] Schafer: Yeah. Let's talk about stuff."
"00:01:55,112 --> 00:01:56,629","We shipped Red's last week."
"00:01:56,629 --> 00:01:58,120","I don't know if you guys noticed that, we shipped a game."
"00:01:58,120 --> 00:01:59,180","It was awesome."
"00:01:59,180 --> 00:02:00,040","Yay, Red's."
"00:02:00,040 --> 00:02:08,283","[Applause] It has, it has, it has made about $800,000 so far on the old Steam thing,"
"00:02:08,692 --> 00:02:09,772","which is fun."
"00:02:11,708 --> 00:02:17,582","And that's not a big enough number that we're going to be immediately completely independent of publishers this year,"
"00:02:17,582 --> 00:02:20,169","like was a secret, back of my head kind of hope."
"00:02:20,169 --> 00:02:22,371","Where all my hopes are in the back of my head."
"00:02:22,371 --> 00:02:30,439","It's a little, it's a little tricky financially because, pretty much, you know, I think conservatively we would estimate that"
"00:02:30,439 --> 00:02:33,234","we've made most of the money that we're going to make off of it."
"00:02:33,234 --> 00:02:35,905","We might make more when we release Part Two, but it's not going to be equal."
"00:02:35,905 --> 00:02:38,341","It's not going to be like the equal amount of sales."
"00:02:38,341 --> 00:02:45,930","So we're working on something that is, we're usually working on something like, oh, when this, when we release it, it'll make a bunch of money for us"
"00:02:45,930 --> 00:02:51,621","and that'll pay for more stuff and so we already got, or kind of got that money in advance twice."
"00:02:51,621 --> 00:02:55,230","Offscreen Voice: So you're making a bigger, more complex game that you know isn't going to sell as well?"
"00:02:55,230 --> 00:03:00,185","Schafer: Yeah. Yep. Just from love."
"00:03:00,185 --> 00:03:01,616","This time it's just for love."
"00:03:01,616 --> 00:03:03,919","That's our slogan."
"00:03:03,919 --> 00:03:07,019","The money is gone, now we're just running on love."
"00:03:07,019 --> 00:03:12,345","No, I mean, the first part made enough money."
