"Timecode","Content"
"00:00:31,291 --> 00:00:34,904","Rice: Last week was, I think, the Kickstarter update went out."
"00:00:34,904 --> 00:00:41,505","So that went over really well and there's a lot of comments about how we all looked really sad in that episode."
"00:00:41,505 --> 00:00:43,693","Schafer: Cheer up, you guys!"
"00:00:43,693 --> 00:00:49,398","Petty: There were a couple random cuts of me going; that had nothing to do with what was being said."
"00:00:49,398 --> 00:00:53,343","Rice: It just meant that a lot of people came out of the woodwork that were like, don't be sad, we love the game."
"00:00:53,343 --> 00:00:54,466","And don't listen to the haters."
"00:00:54,466 --> 00:00:56,879","Kipnis: Wait, wait. Can you send this link to us?"
"00:00:56,879 --> 00:01:00,697","Rice: Yeah. If you looked at forum threads, the main forum threads."
"00:01:00,697 --> 00:01:02,897","Schafer: What did you do last week?"
"00:01:02,897 --> 00:01:08,221","Fish: Face it, baby. You're hooked on me."
"00:01:08,221 --> 00:01:11,060","It's even funnier in the game, you guys."
"00:01:11,060 --> 00:01:13,387","Rice: Spoiler. Schafer: Spoilers."
"00:01:13,387 --> 00:01:42,004","[Music] Schafer: I really am trying everything to make sure the game comes out this year."
"00:01:42,004 --> 00:01:46,610","Rice: It's just going in knowing that that would mean like doing whatever it takes to make that happen."
"00:01:46,610 --> 00:01:49,014","And sacrificing in some ways."
"00:01:49,014 --> 00:01:50,411","Schafer: I think we can do December."
"00:01:50,411 --> 00:01:52,331","To me, it's like an infinity far away."
"00:01:52,331 --> 00:01:53,895","Schafer: There's like backer expectations."
"00:01:53,895 --> 00:01:55,725","There is a financial."
"00:01:55,725 --> 00:01:58,186","And for me, just the possibility of actually being up for awards."
"00:01:58,186 --> 00:02:03,496","It's really just the best game that we can make and we feel like we can actually make without crashing the company into the ground."
"00:02:03,496 --> 00:02:08,787","Rice: And so I guess on the screen right now is the current timeline for production on Act Two."
"00:02:08,787 --> 00:02:13,828","This is what we're working towards and this was the attempt to get to a December launch."
"00:02:13,828 --> 00:02:24,600","So like even this is stuff that is a real challenge and a lot of people feel, on the team, it's going to take everything, everyone firing like on all cylinders."
"00:02:24,600 --> 00:02:27,530","Everything falling into the right places."
"00:02:27,530 --> 00:02:29,800","But seems doable with a push."
"00:02:29,800 --> 00:02:38,299","And so that is the other challenge, is that all of this requires like our team coming back and working in full, having writing ready to go."
"00:02:38,299 --> 00:02:40,321","Schafer: On Broken Age? OK, Broken Age."
"00:02:40,321 --> 00:02:42,290","We have people coming back."
"00:02:42,290 --> 00:02:43,941","Ray's coming back. Crook: Tomorrow."
"00:02:43,941 --> 00:02:45,223","Schafer: You're typing something."
"00:02:45,223 --> 00:02:46,411","You're on Facebook over there."
"00:02:46,411 --> 00:02:47,696","Crook: Just with my eyes."
"00:02:47,696 --> 00:02:48,975","Schafer: Facebooking."
"00:02:48,975 --> 00:02:50,554","Ray's coming back tomorrow."
"00:02:50,554 --> 00:02:51,845","And Rusty's been back."
"00:02:51,845 --> 00:02:55,469","Anna's been wiring up actual puzzles in Act Two, right?"
"00:02:55,469 --> 00:02:57,439","Crook: Here we go."
"00:02:57,439 --> 00:02:58,781","Offscreen Voice: Been a while?"
"00:02:58,781 --> 00:03:01,071","Crook: Deja vu. That's good."
"00:03:01,071 --> 00:03:05,620","It's good to be back on, back in the world of Shay and Vella."
"00:03:05,620 --> 00:03:16,489","So I took, took a little time off away from it, not off Double Fine, but just away from the Broken Age and helped out on a couple of other projects."
"00:03:16,489 --> 00:03:22,729","And that was great, because it was just totally different and just a new, it was a nice break."
"00:03:22,729 --> 00:03:24,498","Schafer: Wow, the team is big again."
"00:03:24,498 --> 00:03:25,609","Look at that."
"00:03:25,609 --> 00:03:27,443","And Oliver's working."
"00:03:27,443 --> 00:03:34,421","Franzke: We're implementing puzzles and scenes are getting drawn and like sample scripts are getting written, so it's, it's pretty good."
"00:03:34,421 --> 00:03:39,584","We got Ben back now as well on the project, which is good, exactly."
"00:03:39,584 --> 00:03:45,211","Peck: Wow. That was a roller coaster, like now we're going to have to do the whole thing over again in less time."
"00:03:45,211 --> 00:03:49,516","Kipnis: Yeah, I guess at this point it's one of these things where we know that we'll be able to do the game."
"00:03:49,516 --> 00:03:54,365","The matter will be to the standard that we have in Act One, like that's not a risk however."
"00:03:54,365 --> 00:03:56,313","That's not a concern that we have."
"00:03:56,313 --> 00:04:00,757","But we just like, now it's like OK, can we do this in a few months?"
"00:04:00,757 --> 00:04:05,198","And we'll see."
"00:04:05,198 --> 00:04:11,757","Hansen: Yeah, we worked through a lot of the kinks that we experienced during the Act One, so it's really just about pure execution at this point."
"00:04:11,757 --> 00:04:16,343","Petty: This wouldn't stay here, but if you had like everything on, so they kind of don't overlap each other"
"00:04:16,343 --> 00:04:19,122","but they all add up versus like this stuff."
"00:04:19,122 --> 00:04:20,267","Schafer: Cool. That's neat."
"00:04:20,267 --> 00:04:24,597","Petty: Since it's the only thing that's really changed, hopefully it becomes like the player knows it's a focal point, you know."
"00:04:24,597 --> 00:04:27,828","They know they need to keep going back, 'cause it's different."
"00:04:27,828 --> 00:04:34,360","Peck: I'm pretty excited about how much of the tech we already have in place and we can just like hit the ground running on"
"00:04:34,360 --> 00:04:36,892","just writing up the game play and stuff like that."
"00:04:36,892 --> 00:04:43,145","Crook: So that maybe makes it a little less exciting, in a way, just because it's not new."
"00:04:43,145 --> 00:04:50,199","As far as figuring things out, but it also makes you less nervous, you know, 'cause we know, OK, it worked."
"00:04:50,199 --> 00:04:52,395","And you know, there's a few things we want to change."
"00:04:52,395 --> 00:04:55,152","Crook: We really need to work on the flip book interface."
"00:04:55,152 --> 00:04:57,196","It's not very intuitive."
"00:04:57,196 --> 00:04:58,389","Another thing."
"00:04:58,389 --> 00:05:05,180","Is there any way, Oliver, I know we've mentioned this in the past, but faster exporting of anims from Maya? Yeah."
"00:05:05,188 --> 00:05:09,980","It's just, you know, it's just these, this, we have a lot of big scenes."
"00:05:09,980 --> 00:05:14,920","Tim writes long scenes and they, and you make one change, you test it like, ahh, OK, that's good."
"00:05:14,920 --> 00:05:17,280","Then you got to re-export again, that's another ten, fifteen minutes."
"00:05:17,280 --> 00:05:23,719","Franzke: I mean, one thing I'm interested to investigate is whether we could launch Maya in batch mode somehow"
"00:05:23,719 --> 00:05:24,927","and like execute a script on it."
"00:05:24,927 --> 00:05:26,887","Petty: I would if we have a network machine that does it."
"00:05:26,887 --> 00:05:31,774","Just like when, you know, in Brutal Legend we eventually stopped doing local exports of the movie"
"00:05:31,780 --> 00:05:34,135","and started having the build machine to do it, yeah."
"00:05:34,135 --> 00:05:40,142","It would also help if we didn't have, you know, seven year old machines with only 4 gigs of RAM."
"00:05:40,142 --> 00:05:44,010","So it could be fixed by, you know, I don't know."
"00:05:44,010 --> 00:05:47,029","Crook: Greg. Buy all new computers."
"00:05:47,029 --> 00:05:49,131","Crook: So it'll, it'll just make workflow easier."
"00:05:49,131 --> 00:05:54,331","I think it'll save us a lot of time in bug fixing."
"00:05:54,340 --> 00:05:59,872","Petty: You know, I noticed that there are a lot of animation bugs as the production went on."
"00:05:59,880 --> 00:06:03,200","And some of those, a lot of those boil down to like sorting issues."
"00:06:03,300 --> 00:06:09,360","Crook: Basically one piece of geometry didn't know whether it should sort in front or in back of another piece of geometry."
"00:06:09,367 --> 00:06:16,000","Petty: The way we've done sorting to support all the platforms is limited and they spend a lot of time cleaning that up."
"00:06:16,000 --> 00:06:20,259","Like if we knew that we were only making it for a high-end console ever, we'd probably have had different solutions"
"00:06:20,259 --> 00:06:26,959","that would have removed some of the burden off the animators or artists, but you know, when you're developing a new engine and you're supporting"
"00:06:26,960 --> 00:06:30,520","a really wide array of platforms, you can't really do that."
"00:06:30,520 --> 00:06:32,140","Or at least it's harder."
"00:06:32,149 --> 00:06:35,045","Franzke: Yeah, gosh."
"00:06:35,820 --> 00:06:36,560","Petty: What do you think, Oliver?"
"00:06:36,560 --> 00:06:39,380","This is way more fun that fixing compatibility errors."
"00:06:39,390 --> 00:06:45,600","Rice: Yep. So I mean, Ben, you're on some stuff now and I guess a lot of this would be coming your way."
"00:06:45,600 --> 00:06:48,600","Franzke: How do you feel about crunching?"
"00:06:48,604 --> 00:06:55,238","Petty: I mean it's always a balance for every engine I've been on, 'cause all the games I've worked on I've never used commercial licensed engines."
"00:06:55,240 --> 00:06:56,440","They've always been developed in-house."
"00:06:56,440 --> 00:07:04,240","So there's always this balance between getting the game done and adding tools to make making the game more effective."
"00:07:04,240 --> 00:07:06,180","And it's really hard to know where that balance should be."
"00:07:06,180 --> 00:07:10,780","Petty: I guess I just wanted to mention that there's a ball of work potentially to like fix some of the workflows that got broken"
"00:07:10,780 --> 00:07:17,140","and also improve some things that I never got a chance to improve, to try and also make the content production of Act Two as efficient as possible."
"00:07:17,200 --> 00:07:23,600","Franzke: Like, this, this, this schedule to some degree also relies in effect just like in Act One"
"00:07:23,600 --> 00:07:32,840","we actually have some manpower available to fix and even possibly improve the workflow, which is right now really bad,"
"00:07:32,840 --> 00:07:36,540","because it just bi-rotted all alway because nobody had time to really look at it."
"00:07:36,540 --> 00:07:40,280","Like opening scenes takes insane amount of time, nobody really knows why."
"00:07:40,280 --> 00:07:41,080","I don't have time to look into it."
"00:07:41,080 --> 00:07:42,520","Nobody has, Anna needs to work."
"00:07:42,520 --> 00:07:43,220","We only have two programmers."
"00:07:43,227 --> 00:07:47,896","Rice: If we're worried about December, that seems like that's going to be something that makes it even more challenging."
"00:07:47,896 --> 00:07:52,295","Petty: Just something to throw in the bucket with the rest of it."
"00:07:52,295 --> 00:07:59,320","Petty: And so we're, we're going to a more traditional production cycle now, trying to actually build the very specific game assets,"
"00:07:59,320 --> 00:08:00,558","not just design them, you know."
"00:08:00,558 --> 00:08:02,377","Preproduction way."
"00:08:02,377 --> 00:08:07,097","And we're finishing our first sprint of Act Two."
"00:08:07,620 --> 00:08:23,380","[Music] Schafer: This is the first time we've played through since we started Act Two."
"00:08:23,380 --> 00:08:27,200","Kipnis: Although I need to make sure that the sound is actually working."
"00:08:27,200 --> 00:08:29,440","Last time on Broken Age."
"00:08:30,500 --> 00:08:31,693","Schafer: Are we going to have that?"
"00:08:31,700 --> 00:08:35,240","Oh my God. OK. Here we go."
"00:08:37,100 --> 00:08:39,240","This better not fucking end here!"
"00:08:39,240 --> 00:08:40,900","It better not be the end!"
"00:08:41,539 --> 00:08:45,060","I paid $15 for, what?"
"00:08:47,464 --> 00:08:51,658","Pull on, OK."
"00:08:52,240 --> 00:08:55,640","Ohmygod is it going to go right into it? Awesome."
"00:08:55,640 --> 00:08:57,140","That's so nice and smooth."
"00:08:57,480 --> 00:09:04,140","So when you play through the game, the only thing is like, do you think we should still put the text up, like ""end of Act One""?"
"00:09:04,140 --> 00:09:06,740","Kipnis: No, no, no. It should just go right in."
"00:09:08,200 --> 00:09:11,900","Schafer: You guys seem to have already come to an agreement about this one."
"00:09:11,900 --> 00:09:13,500","Kipnis: I mean we could, but it wouldn't be as..."
"00:09:13,500 --> 00:09:14,600","Schafer: Should I pick the girl?"
"00:09:14,600 --> 00:09:15,760","Kipnis: No. Don't do it."
"00:09:15,767 --> 00:09:18,127","Petty: It'd be a very short play through."
