Timecode,Content
"00:00:35,002 --> 00:00:36,336","Schafer: Oh, Brad is out. Okay."
"00:00:36,336 --> 00:00:37,371",Hello everybody.
"00:00:37,371 --> 00:00:38,405",Hi. It's good to see you.
"00:00:38,405 --> 00:00:39,706",Hello. Thank you for coming.
"00:00:39,706 --> 00:00:44,444","So, uh, it's Monday, and Friday was terrible."
"00:00:44,444 --> 00:00:45,812","Uh, all of you were here."
"00:00:45,812 --> 00:00:49,616","I want to just think everyone for, uh, showing so much class"
"00:00:49,616 --> 00:00:50,817",going through that difficult day.
"00:00:50,817 --> 00:00:54,454","You guys all, um, uh, held together nicely."
"00:00:54,454 --> 00:00:58,525","It was a rough day on everybody and, um, I think you showed a lot of compassion"
"00:00:58,525 --> 00:01:03,196","for the people who are leaving and also understanding for those of us who had to make that decision,"
"00:01:03,196 --> 00:01:05,265",and it really helped us get through it.
"00:01:05,265 --> 00:01:09,002","And we will--we are getting through it, and it's, um..."
"00:01:09,002 --> 00:01:12,539",Now we have a bunch of games we gotta make and stuff to do.
"00:01:12,539 --> 00:01:17,844","Um, we are still helping the people who need letters of reference,"
"00:01:17,844 --> 00:01:19,846","letters of recommendation, stuff like that."
"00:01:19,846 --> 00:01:23,450",Help--doing what we can to get them set up with new engagements.
"00:01:23,450 --> 00:01:28,522","Um, but other than that, we here are still working on these games."
"00:01:32,259 --> 00:01:33,694",Did you want to talk about the layoffs?
"00:01:33,694 --> 00:01:35,529",-Is that part of the documentary?
"00:01:35,529 --> 00:01:38,298",Talk about the layoffs. I'm gonna have a drink.
"00:01:38,298 --> 00:01:40,100",Can I drink on camera?
"00:01:40,100 --> 00:01:42,536","If the kids are watchin' this, kids, don't drink."
"00:01:42,536 --> 00:01:46,540","A week ago, we had a project canceled, an unannounced project from a publisher"
"00:01:46,540 --> 00:01:47,874",that really liked the game.
"00:01:48,075 --> 00:01:51,278",We had just done our vertical slice and then gave us great feedback on it
"00:01:51,278 --> 00:01:53,046",and they said it was great and they really liked it.
