Timecode,Content
"00:00:24,975 --> 00:00:27,187","Offscreen Voice: Tomorrow, how's it going to play out?"
"00:00:27,187 --> 00:00:35,221","Schafer: We're going to, let's see, tomorrow, come in here, push the button, there's a big plastic button in the middle of the room."
"00:00:35,221 --> 00:00:38,567","We all push it at the same time, put our hands in and then push it."
"00:00:38,567 --> 00:00:39,726",We totally should have that.
"00:00:39,726 --> 00:00:47,019","That'd be much more dramatic than like Greg sitting at his desk and Chris and then they tap and then they're like, OK."
"00:00:47,019 --> 00:00:48,299",It's off.
"00:00:51,565 --> 00:00:52,865",But that's the way it's going to go.
"00:00:53,560 --> 00:01:22,000",[Music] Gardner: There's so much animation that needs to be polished.
"00:01:22,000 --> 00:01:26,469","Crook: Well, well, there's a lot that's, that's done, but it's just not in."
"00:01:26,469 --> 00:01:27,666",Somewhat slow going.
"00:01:27,666 --> 00:01:32,212",Schafer: OK. Does anyone want to say anything about the schedule?
"00:01:32,212 --> 00:01:34,232",Like how easy it looks?
"00:01:35,161 --> 00:01:37,565","Rice: But yeah, there's a lot to do in two months left."
"00:01:37,565 --> 00:01:40,682","Schafer: Where's the warmest spot in this, in this office?"
"00:01:40,682 --> 00:01:42,329",Crook: Just snuggle up to me.
"00:01:42,329 --> 00:01:45,014","Crook: This sweater and, Schafer: Oh, wow."
"00:01:45,014 --> 00:01:46,654",He's so warm in there.
"00:01:47,609 --> 00:01:48,806","Look at you, you look like a longshoreman."
"00:01:48,806 --> 00:01:50,091",Crook: I was so cold yesterday.
"00:01:50,091 --> 00:01:52,181","Schafer: You're like a lumberjack, like a lumberjack by the sea."
"00:01:52,181 --> 00:01:54,936",I just need to be by Anna's heater.
"00:01:54,936 --> 00:01:58,357","Schafer: Hey, is this thing even on?"
"00:01:58,357 --> 00:02:00,420",Kipnis: You want it on? Here.
"00:02:00,420 --> 00:02:02,300","Schafer: Gather 'round the fire, everybody."
"00:02:04,110 --> 00:02:05,359",Rice: We each should have a little fire.
"00:02:05,359 --> 00:02:07,276",Schafer: Hello. Is everyone here?
"00:02:07,276 --> 00:02:08,695","We'll have him, quick. OK, anyways."
"00:02:08,695 --> 00:02:10,473","Hey, everybody. What are you doing?"
"00:02:10,473 --> 00:02:11,655","Mr. Petty, what have you been working on?"
"00:02:11,655 --> 00:02:14,950","Petty: What we're doing up until, for the next couple weeks is getting all the new content"
"00:02:14,950 --> 00:02:17,149","and, which I think in art, there's very little new content."
"00:02:17,149 --> 00:02:20,571",It's mainly us repainting and polishing and refining.
"00:02:20,571 --> 00:02:22,951","Ryken: Yeah, we're coming down to the wire but it's going good."
"00:02:23,240 --> 00:02:25,740",I'm working on little fix-y things.
"00:02:25,743 --> 00:02:29,543","Things that were painted really crappily and are now, I'm in the time to polish up."
"00:02:29,640 --> 00:02:30,590",Schafer: Bagel's right here.
"00:02:30,590 --> 00:02:31,496","Ryken: Yes, yes."
"00:02:31,760 --> 00:02:32,774","I'm fixing, Petty: You better be referring to other work."
"00:02:32,774 --> 00:02:35,574","Ryken: I'm fixing the things that Bagel's ""fixing"", right now."
"00:02:38,105 --> 00:02:41,390","Ryken: We're just getting down to the point where, [Offscreen Voice]"
"00:02:41,390 --> 00:02:42,070",Ryken: What?
"00:02:43,220 --> 00:02:45,260","Ryken: Oh, look at that! That's crazy."
"00:02:45,260 --> 00:02:46,571",Didn't I just do that. Petty: Yeah.
"00:02:47,400 --> 00:02:48,719","Ryken: He's so fast, man."
"00:02:49,800 --> 00:02:51,131",You have the rim light working on him?
"00:02:51,340 --> 00:02:53,040","Man, maybe I'm just slow."
"00:02:54,379 --> 00:02:58,815","Petty: In some cases we're repeating characters, because now that we see like the range of what they did,"
"00:02:58,815 --> 00:03:01,954","like we repainted a Mog Chothra, Levi did for like the third time."
"00:03:01,954 --> 00:03:05,929",And part of that is because his presence in the game was much bigger than when we originally painted him.
"00:03:05,929 --> 00:03:10,099",And the type of stuff he needs to do for like the boss battle or for these other areas
"00:03:10,099 --> 00:03:14,510",is a greater range of movement and a lot more close-ups and has various mouth states.
"00:03:14,510 --> 00:03:21,907","So the best thing to do is like sometimes you can keep patching asset, but sometimes it's best to just go, wipe that clean."
"00:03:21,907 --> 00:03:24,254","And we know exactly how it's going to be used now, just repaint it."
"00:03:24,254 --> 00:03:25,755",So that's pretty much what we did.
"00:03:25,755 --> 00:03:28,520","And it'll pay off, because he has a lot of screen time."
"00:03:28,520 --> 00:03:31,098","Ryken: Yeah, we're not as pressed as the animators."
"00:03:31,098 --> 00:03:39,174","We kind of just listen to them, working their ass off over there while we kind of just pretty things up."
"00:03:39,174 --> 00:03:43,170","Gardner: Today I'm trying to get this scene in, 'cause it's such a big one."
"00:03:43,170 --> 00:03:47,317",It's going to be a series of like four different cut scenes that we put together in the game.
"00:03:47,317 --> 00:03:51,080","And like none of those are in the game right now, and that's like, really close to shipping."
"00:03:51,080 --> 00:03:53,419","So it's like this last, bit of time."
"00:03:53,585 --> 00:03:58,020","Just like every other department, we're all kinda just like rushing through everything."
"00:03:58,331 --> 00:04:07,537","Choy: The animation, like overall, like animation just has more work, but a lot of times my time is compressed into like the last,"
"00:04:07,537 --> 00:04:14,517","like couple of weeks that I can do work, because I come after everyone else and like I guess, right before audio."
"00:04:14,517 --> 00:04:18,822",Stoddard: I'm finishing all the sound in two weeks. Schafer: Yay!
"00:04:18,822 --> 00:04:28,777","Stoddard: I'm going, I'm basically following the animators as closely as possible, because I'm trying to jump on all the cut scenes as they come in and like do them."
"00:04:28,777 --> 00:04:30,497","Schafer: Ray's like, good luck, 'cause we're so fast."
"00:04:31,475 --> 00:04:36,524",Stoddard: I'm trying to save January 6 through 10 to mix the game.
"00:04:36,524 --> 00:04:42,064","I'd really, really like to have that time to do that, so I'm trying to get in as much as possible in the next two weeks."
"00:04:42,064 --> 00:04:48,683","Choy: Kind even Camden and I had a lunch where we were kind of talking about like, OK, well, we're here at this stage now"
"00:04:48,683 --> 00:04:50,486",where everything's supposed to be wrapping up.
"00:04:50,486 --> 00:04:51,822",Like what do we do?
"00:04:51,822 --> 00:04:54,372",Like what's the social fix for it?
"00:04:54,372 --> 00:04:58,506","And like part of me's like, oh, you know, like I'm just going to be really like irritable all the time"
"00:04:58,506 --> 00:05:01,065","and just like be really hard, kind of hard to like work with."
"00:05:01,065 --> 00:05:06,420","So like if people want to make changes they'll be like, oh my God, did I piss her off even more?"
"00:05:06,420 --> 00:05:09,995","So like this, like some of that, like there's like you kind of have to be a little bit of a wall,"
"00:05:09,995 --> 00:05:17,063","otherwise like, just so people, not necessarily to like stop changes, but just so people will like kind of think twice"
"00:05:17,063 --> 00:05:21,310",or like maybe think smarter when they want to polish something.
"00:05:21,310 --> 00:05:23,570",Schafer: So it's a little tight.
"00:05:23,570 --> 00:05:27,895",This means more late night food for free for Ray.
"00:05:27,895 --> 00:05:33,184","See, so it's really saving Ray money, 'cause he's going to stay late to animate all this stuff."
"00:05:38,927 --> 00:05:41,911",Rice: And this is just a bunch of rice.
"00:05:41,911 --> 00:05:44,691","Crook: You see, this is the size."
"00:05:46,446 --> 00:05:47,861",Schafer: I've been doing a lot of press stuff.
"00:05:47,861 --> 00:05:49,961",We went down and showed the game at the VGX Awards.
"00:05:49,961 --> 00:05:50,998",Did you guys watch?
"00:05:50,998 --> 00:05:52,195",It was fun.
"00:05:52,195 --> 00:05:53,625",I got a lot of love on Twitter from that.
"00:05:53,625 --> 00:05:58,877","And a lot of people who hadn't heard of the game before were just crazy, because I always assume the entire world knows all about the game."
"00:05:58,877 --> 00:06:00,418","But I got this like, what is this game?"
"00:06:00,418 --> 00:06:02,158","This looks kind of cool, this is awesome."
"00:06:02,158 --> 00:06:08,847","Keighley: This is really exciting, 'cause this is a guy I've loved for so long and we now have him live on the VGX stage."
"00:06:08,847 --> 00:06:10,974","Not you, Joel, but Tim Schafer is with us!"
"00:06:10,974 --> 00:06:12,243",Tim Schafer!
"00:06:12,243 --> 00:06:15,647","Tim is of course the creative genius behind Brutal Legend, Psychonauts and Grim Fandango"
"00:06:15,647 --> 00:06:21,388","and his latest is the Kickstarter funded adventure game, Broken Age, which raised over three million dollars."
"00:06:21,388 --> 00:06:22,639","McHale: Three and a half million, Geoff."
"00:06:22,639 --> 00:06:23,740",Schafer: Thank you.
"00:06:23,740 --> 00:06:24,939",Schafer: He's funny. He's nice.
"00:06:24,939 --> 00:06:26,629",He was nice to me off camera.
"00:06:26,629 --> 00:06:28,149","He was like, hey, get ready for this."
"00:06:29,243 --> 00:06:31,943",I'm going to ask you if you were high when you designed this game.
"00:06:32,624 --> 00:06:35,255","McHale: @Brandon Victoran asks, hey, Tim."
"00:06:35,255 --> 00:06:37,597",What was the inspiration for the project?
"00:06:37,597 --> 00:06:40,637","Schafer: Well, McHale: Did you get high or something?"
"00:06:41,646 --> 00:06:44,606","Schafer: Uh, no, no. McHale: Sorry."
"00:06:45,513 --> 00:06:48,086","Remo: It's been getting really tangible, how excited people are to play it."
"00:06:48,086 --> 00:06:51,280","Like it's been very visible and you can really, you can really feel it."
"00:06:51,280 --> 00:06:56,545","So it's very, very exciting, like we have a big list of stuff to do to get the game out."
"00:06:56,545 --> 00:07:01,838","You know, Greg is obviously driving that stuff so it's going to be pretty crazy few weeks,"
"00:07:01,838 --> 00:07:06,132",but I think our community is going to be incredibly enthusiastic.
"00:07:06,132 --> 00:07:08,157","Is going to, and really help us get the word out."
"00:07:08,157 --> 00:07:10,757",So it's really good times.
"00:07:11,917 --> 00:07:14,446",Rice: I think that there's going to be a lot of excitement.
"00:07:14,446 --> 00:07:19,831","Like I think we've been doing some bigger things, like VGX and stuff that's been building up, you know, hype."
"00:07:19,831 --> 00:07:25,096","And I think that ultimately the people who are going to care the most about the game are the 90,000 that already bought it"
"00:07:25,096 --> 00:07:26,746",and they're going to be super-stoked playing it.
"00:07:26,746 --> 00:07:31,075","So I feel like there's going to be a huge ripple effect from them, of them just sharing their excitement."
"00:07:31,075 --> 00:07:35,754",I think that that'll just be something that we should try and capitalize on as much as possible.
"00:07:36,000 --> 00:07:37,700","Bailey: the big splash, so you're thinking?"
"00:07:37,820 --> 00:07:41,258","Rice: Yeah, well, I just think that yeah, they've been waiting 15 years for this game."
"00:07:41,258 --> 00:07:47,098","Bailey: There is the counterpoint, just so you know, which is that, that all the adventure fans are really interested in this"
"00:07:47,098 --> 00:07:49,603",and it's a very small market and that's why most publishers got out of it.
"00:07:49,603 --> 00:07:50,746","Rice: Yeah, I know."
"00:07:50,746 --> 00:07:53,085",Bailey: So those fans have basically already backed the game.
"00:07:53,085 --> 00:07:54,405","Rice: Yeah. But that's what we're going to prove wrong, right?"
"00:07:54,420 --> 00:07:55,800","Bailey: You're going to prove that wrong, OK."
"00:07:55,800 --> 00:07:56,989",Rice: Everyone is a skeptic.
"00:07:56,989 --> 00:07:58,324","Bailey: But it still could, it can be somewhere between it, right?"
"00:07:58,460 --> 00:08:02,149","Where is the genre, is say, you know, 500,000 people."
"00:08:02,410 --> 00:08:06,604","Rice: Yeah, I think that that's where the quality of the game is going to be, ultimately makes a call."
"00:08:06,604 --> 00:08:12,850","Like I think if it comes out and reviews really well and people have a really great experience and are talking about it,"
"00:08:12,850 --> 00:08:16,846",I think the game will be able to kind of live on through really solid sales.
"00:08:16,846 --> 00:08:21,784","You know, if it has kind of average scores, then it probably will be a different story."
"00:08:22,414 --> 00:08:25,631",Schafer: Broken Age is a welcome return to the graphic adventure games by Tim Schafer.
"00:08:25,631 --> 00:08:27,671","See, I can't read this, it's got my name in it."
"00:08:27,960 --> 00:08:35,910",Schafer: We hired some old friends of ours who are game reviewers in the previous life
"00:08:35,910 --> 00:08:41,479","and asked them to write a review of Broken Age as if they were actually, just got a copy and were reviewing it."
"00:08:41,760 --> 00:08:48,783","To know, you know, is there some big thing we have overlooked or what, what might a review look like for the game."
"00:08:48,783 --> 00:08:52,183",And they came back really good.
"00:08:52,380 --> 00:08:58,046","Positives: intuitive point and click interface, good balance between exploration, character interaction and puzzle solving."
"00:08:58,046 --> 00:09:01,561",Game recognizes when players are stuck and provides clues without giving them answers.
"00:09:01,561 --> 00:09:05,361",Negatives: I missed the inventory command and the opening with Shay and the spoon.
