"Timecode","Content"
"00:00:22,220 --> 00:00:26,459","[Buzzing noise] [Schafer laughing]"
"00:00:26,800 --> 00:00:27,940","Schafer: Oh my god."
"00:00:28,200 --> 00:00:29,460","Schafer: There you go."
"00:00:29,720 --> 00:00:31,900","Schafer: I forgot to put my beard on this morning, you're right."
"00:00:33,100 --> 00:00:34,620","I left that beard at home."
"00:00:34,680 --> 00:00:36,440","People are going to know it's a fake beard."
"00:01:02,440 --> 00:01:07,782","Rice: I think that it's also just important to keep in mind that there's like other impacts besides just funding the game and that"
"00:01:07,782 --> 00:01:14,332","like if we now go get a publisher for this game, then it's suddenly like voids everything we've said about the project"
"00:01:14,332 --> 00:01:15,612","and everything we're trying to do."
"00:01:16,000 --> 00:01:17,300","Schafer: Where did we leave off?"
"00:01:18,520 --> 00:01:19,635","Oh, that's right."
"00:01:19,640 --> 00:01:25,680","Game was too big, company's going to close down, didn't have any money and Cloud Colony wasn't done."
"00:01:26,140 --> 00:01:29,723","Bailey: Like because right now, you know, it looks like the plane's kind of diving down a little bit"
"00:01:29,723 --> 00:01:32,690","and we just need to, we have time to pull up."
"00:01:32,965 --> 00:01:35,045","Schafer: What does the plane diving down stand for?"
"00:01:35,140 --> 00:01:36,843","Bailey: That stands for Schafer: Us crashing?"
"00:01:36,980 --> 00:01:40,520","Schafer: The whole company crashing into the ground and burning? Bailey: [laughing] Rice: A lot actually."
"00:01:40,520 --> 00:01:46,180","Well, I mean right after that episode aired, yeah, right after that episode aired we started Amnesia Fortnight"
"00:01:46,180 --> 00:01:49,960","so the team kind of took a break from everything for a little bit there."
"00:01:50,360 --> 00:01:52,590","Schafer: Amnesia Fortnight is coming up, people."
"00:01:52,590 --> 00:01:55,260","And you forget what we were working on for two weeks, that's where the name comes from."
"00:01:55,260 --> 00:01:58,634","We split the company into small groups, sometimes four or five groups."
"00:01:58,640 --> 00:02:00,946","And each group has to make a game in two weeks."
"00:02:01,280 --> 00:02:07,371","Rice: I think ultimately that was an amazing process and people had a great time and just came back really energized after that."
"00:02:07,493 --> 00:02:12,352","And a lot of progress has already been made in this month since then."
"00:02:12,352 --> 00:02:20,723","Things are definitely moving along quicker and we're starting to address a lot of potential ways to help make production go smoothly"
"00:02:20,723 --> 00:02:23,963","and on a lower budget than it's looking like it could."
"00:02:24,800 --> 00:02:29,655","Schafer: There's scope and then there's money, then there's efficiencies."
"00:02:29,718 --> 00:02:33,538","And I've never seen this solved any other way than all of the above."
"00:02:33,540 --> 00:02:34,900","Stamos: Yeah. Schafer: You know what I mean?"
"00:02:34,900 --> 00:02:38,460","Some scope reduction, some efficiency improvements, some extra money."
"00:02:38,680 --> 00:02:40,380","We've been working on simplifying some stuff."
"00:02:40,380 --> 00:02:44,025","J.P.'s come on and we've been trying to look at things in the spaceship we can simplify."
"00:02:44,025 --> 00:02:47,125","We cut some room, cut the teleporter rooms, cut some simple stuff."
"00:02:47,125 --> 00:02:51,445","But it's more like an ongoing thing, simplifying it as we go."
"00:02:51,840 --> 00:02:57,552","You know, you want to make the game, most of the backers I think would be unanimous in saying they want a great game, right?"
"00:02:57,555 --> 00:03:04,372","So they're trusting me to use the judgment of like how much to cut that still makes it a great game."
"00:03:04,890 --> 00:03:10,226","And they don't want us to cut more than that, so we just have to, we've been working on that problem."
"00:03:11,040 --> 00:03:14,340","Bailey: I'm not privy to what's actually going on in the scoping side right now."
"00:03:14,340 --> 00:03:17,622","Although I hear that they're, they're making some progress."
"00:03:17,622 --> 00:03:25,967","On the funding side I was able to bring in a few deals that don't require any kind of creative control."
"00:03:26,290 --> 00:03:35,455","So like Brutal Legend PC, which to me is potentially, you know, better on PC than it would be on console, because it's an RTS."
"00:03:35,455 --> 00:03:37,161","It has RTS elements."
"00:03:37,161 --> 00:03:41,988","It's never actually been released and it's got, you know, huge amount of music already licensed in it"
"00:03:41,989 --> 00:03:48,529","So we moved that up and you know, we're looking to release that pretty soon."
"00:03:48,858 --> 00:03:53,698","And all or, no, some or all of those profits will probably go back to Red's."
"00:03:54,160 --> 00:03:59,627","Schafer: I mean...for one of our other games, he found a licensing deal in Korea"
"00:03:59,640 --> 00:04:02,269","So there's extra money and revenue that can come in through that."
"00:04:02,269 --> 00:04:07,409","And that's the kind of stuff I would never have, I can't whip up a Korean licensing deal on my own, I'd have no idea."
"00:04:07,460 --> 00:04:10,080","How do you, who do you even call? Do you know any-?"
"00:04:10,420 --> 00:04:16,914","We got such a response to Majus's print from the last episode that we can now, now selling the print."
