"Timecode","Content"
"00:00:27,680 --> 00:00:28,480","Rice: Whoa!"
"00:00:29,380 --> 00:00:30,460","You must have just been off it?"
"00:00:35,980 --> 00:00:38,460","Remember how buggy all of this used to be?"
"00:00:41,080 --> 00:00:42,300","Those were the days."
"00:00:43,180 --> 00:01:12,549","[Music] Schafer: And Act One of our game is now Alpha, which is exciting."
"00:01:12,640 --> 00:01:13,700","And, whoo!"
"00:01:14,970 --> 00:01:17,910","And Nathan ""Bagel"" Stapley is here in town for two weeks."
"00:01:17,910 --> 00:01:19,910","There he is, Mr. Stapley, Bagel Stapley."
"00:01:23,840 --> 00:01:24,900","They recognize you by your hats."
"00:01:24,900 --> 00:01:25,916","Stapley: Thank you very much."
"00:01:26,080 --> 00:01:28,482","Schafer: Yeah. No one can still pull off trucker hats except for you."
"00:01:29,320 --> 00:01:33,540","It's awesome. And wait, why are you here, Bagel? To paint?"
"00:01:33,540 --> 00:01:35,765","Stapley: Oh, yeah. Talk about Beta."
"00:01:35,920 --> 00:01:37,920","Schafer: Beta. Stapley: Polishing and Beta-ing."
"00:01:38,860 --> 00:01:45,419","Schafer: Awesome. And we, yeah, we finished our last one week sprint, which was finish up Act One as far as Alpha-ing goes."
"00:01:45,420 --> 00:01:50,200","And then we're starting on some final polish for some things in Beta."
"00:01:50,780 --> 00:01:51,720","But it's looking good."
"00:02:07,000 --> 00:02:09,246","Gardner: And the family starts getting a little nervous."
"00:02:09,979 --> 00:02:12,800","And then we have this like big dramatic like..."
"00:02:14,620 --> 00:02:19,518","Lee: Dave you were saying to me earlier you think we needed a separate scene for that little shot there?"
"00:02:19,520 --> 00:02:21,089","Gardner: This background, yeah."
"00:02:21,089 --> 00:02:21,906","That's a separate."
"00:02:21,906 --> 00:02:23,526","And I have a spot in mind for you to put that."
"00:02:23,526 --> 00:02:24,881","Schafer: Holy shit!"
"00:02:24,881 --> 00:02:29,282","Gardner: So here's her, there'd be like a shadow coming over her and she's starting to get scared."
"00:02:29,600 --> 00:02:34,162","Now like I think what would be really cool is like for that sequence to kind of be quiet."
"00:02:34,162 --> 00:02:38,546","And then when we cut to her, she gets excited and the crowd is like, whoa!"
"00:02:38,546 --> 00:02:39,666","Like it's Mog Chothra!"
"00:02:39,666 --> 00:02:45,611","So like, and we'd cut to like the threshing ocean and like the dripping and the effects are all totally going crazy here."
"00:02:45,620 --> 00:02:52,380","Schafer: Blue whale falls off of it Gardner: And the crowd is just like totally, there's going to be the laser eye goes bshhhh, and like shines on her."
"00:02:52,380 --> 00:02:54,617","And that'll be a pulsating laser shot."
"00:02:54,620 --> 00:02:59,700","And she starts kind of like going ooh, like I like the way it's dancing off my skin,"
"00:02:59,700 --> 00:03:01,877","the color, you know, like she starts getting really excited about it."
"00:03:01,880 --> 00:03:06,100","Like, and then we do the shot where the tentacle comes in."
"00:03:06,100 --> 00:03:08,910","That's a little long; I'll cut that down and then smash!"
"00:03:08,910 --> 00:03:13,509","What do you think if I did, look, here he is, without the, without her even being onscreen."
"00:03:13,509 --> 00:03:14,189","It could be cool."
"00:03:14,189 --> 00:03:16,409","Schafer: We could even start with her and like cut to that during the line."
"00:03:17,260 --> 00:03:20,220","Here could be like, look, he's so majestic, even more than we were told."
"00:03:20,220 --> 00:03:21,180","Gardner: Yeah, that's perfect."
"00:03:21,180 --> 00:03:22,440","Schafer: People clapping over there. Gardner: Awesome."
"00:03:23,500 --> 00:03:24,768","Schafer: And this scene where nothing is happening..."
"00:03:24,768 --> 00:03:26,858","Gardner: This is the one where the laser is shooting at her."
"00:03:26,860 --> 00:03:29,830","So actually this one would be cool if the laser's on her..."
"00:03:29,830 --> 00:03:32,546","Schafer: But it could be, that could be when these two other maidens are saying this."
"00:03:32,546 --> 00:03:35,284","Like she's already said, see, he's drawn to this flame like a giant moth."
"00:03:35,284 --> 00:03:40,440","And you could have this moment of suspense before he eats her, where they're saying, offscreen, kind of quieter."
"00:03:40,440 --> 00:03:41,602","Wait, no way. Please, no."
"00:03:41,602 --> 00:03:42,971","He's going to eat me."
"00:03:42,980 --> 00:03:43,480","Gardner: Yeah."
"00:03:44,440 --> 00:03:48,346","Schafer: And the team is kind of working on finalizing the first half to get that to go out."
"00:03:48,680 --> 00:03:56,431","And so I'm kind of in this mode of a little, it's panic but it's in a good way because you see the clear delineation"
"00:03:56,440 --> 00:03:57,880","of how much more time you have."
"00:03:58,120 --> 00:04:01,088","And that's all you get to work on and it'll be taken out of your hands when it's done."
"00:04:01,500 --> 00:04:05,520","So you really have to prioritize when you look at everything, 'cause you could, you could mess with everything in the game"
"00:04:05,520 --> 00:04:07,370","and just dink around with it and polish it and do all this stuff."
"00:04:07,660 --> 00:04:12,200","But if you can only do like out of the 50 things you could think of doing, you only can do ten of them, then you're like OK,"
"00:04:12,200 --> 00:04:14,480","I got to fix the ten most important things to do."
"00:04:14,800 --> 00:04:18,907","And that's nice in the way that it gets you to really focus on what's important about the game."
"00:04:18,980 --> 00:04:22,900","So I'm in that mode of like thinking, if I can only do ten more things to make the game great, what can I do?"
"00:04:23,420 --> 00:04:27,420","Petty: I think we're going to repaint those maidens' faces anyways, but you know, at this point if Bagel"
"00:04:27,420 --> 00:04:30,820","and I were to list all the things we want to repaint, it'd be the entire game, every character and we obviously can't do that."
"00:04:30,820 --> 00:04:35,508","So if like there's one that's featured prominently like that candle maiden, then we should for sure hit it."
"00:04:35,508 --> 00:04:38,266","But if we're not going to cut in close to the rose maiden, then I don't, probably don't want to touch it."
"00:04:38,266 --> 00:04:42,089","At least it'll be lower in priority. Schafer: Cool? Exciting."
"00:04:42,440 --> 00:04:43,201","Petty: It's cool."
"00:04:43,201 --> 00:04:46,305","I think it's really going to help to get that thing in there and get all those little bits polished."
"00:04:46,640 --> 00:04:49,480","It should really hopefully give Mog Chothra some actual weight."
"00:04:50,540 --> 00:04:51,120","Stapley: Thanks, guys."
"00:04:56,320 --> 00:04:57,360","Gardner: Easy peasy."
"00:04:59,300 --> 00:05:07,103","Stapley: Yeah, now we're going to like polish, like tons of draw overs and tons of notes and tons of things just to change."
"00:05:07,103 --> 00:05:08,083","And yeah."
