"Timecode","Content"
"00:00:34,579 --> 00:00:35,924","Ray: It'll be all right, Tim."
"00:00:35,924 --> 00:00:37,084","Hansen: It's all right. We'll figure this out."
"00:00:39,343 --> 00:00:40,648","Tim: Are you saying I shouldn't do it?"
"00:00:40,648 --> 00:00:42,242","Hansen: Don't do it. Don't do it."
"00:00:42,242 --> 00:00:43,603","Ray: We'll make it work."
"00:00:43,603 --> 00:00:47,414","Tim: You're just mad because if I did this it would not solve the problem for you guys."
"00:00:47,414 --> 00:00:49,811","Hansen: It just makes it worse actually. Ray: Yeah."
"00:00:49,811 --> 00:00:52,135","Hansen: That's right. It makes it easier for you."
"00:00:52,135 --> 00:00:56,555","Ray: There're still pickup lines that haven't been written, aren't there?"
"00:00:57,506 --> 00:01:26,207","[Music] Tim: I really am trying everything to make sure the game comes out this year."
"00:01:26,207 --> 00:01:28,767","Ray: December. What are we in, October, November?"
"00:01:28,767 --> 00:01:30,083","Yeah, I know that's not gonna happen."
"00:01:30,083 --> 00:01:31,013","Tim: I gotta finish."
"00:01:31,013 --> 00:01:35,740","I'm so close to being done with the dialogue for the game which would be a huge milestone in my life"
"00:01:35,748 --> 00:01:37,868","because all I can think about is the dialogue for this game."
"00:01:37,868 --> 00:01:38,937","There's a lot of dialogue in this game."
"00:01:39,380 --> 00:01:40,740","Okay, we're gonna start."
"00:01:42,460 --> 00:01:44,800","Weeklies, here we are, back on the project."
"00:01:44,800 --> 00:01:46,492","Hey, guess what. I finished all the dialogue for the game."
"00:01:46,500 --> 00:01:48,260","It's awesome. Yay!"
"00:01:48,260 --> 00:01:50,572","[Clapping] That's a relief."
"00:01:50,572 --> 00:01:51,272","Crook: Finally."
"00:01:51,280 --> 00:01:53,795","Schafer: Well, I mean you didn't have to put it that way, but yeah, yeah, finally."
"00:01:53,795 --> 00:01:54,875","Crook: Someone had to say it!"
"00:01:57,133 --> 00:02:01,736","I know I was going on my calendar today and there's a big recurring appointment for Reds writing and I went and I deleted it."
"00:02:02,433 --> 00:02:04,125","Oh, my God, this is exciting."
"00:02:04,125 --> 00:02:05,299","I'm never gonna write again."
"00:02:05,299 --> 00:02:07,079","Never write again. Never write again."
"00:02:07,079 --> 00:02:11,678","So actually I'm playing through the game right now and I'm making notes of what dialogue I need to write."
"00:02:13,160 --> 00:02:14,420","Other than that I'm totally done."
"00:02:14,820 --> 00:02:24,105","[Music] And then Tim nobly finished the last of the dialogue"
"00:02:24,105 --> 00:02:27,085","and everyone was happy forever, the end."
"00:02:28,545 --> 00:02:30,305","And that's the end of that chapter."
"00:02:32,640 --> 00:02:34,480","Does anybody have any questions?"
"00:02:34,940 --> 00:02:39,017","Broken Age, broken Age."
"00:02:39,017 --> 00:02:41,757","That's our rousing chant, broken age."
"00:02:42,982 --> 00:02:43,782","Bye."
"00:02:43,782 --> 00:02:45,677","Peck: What's new, man?"
"00:02:45,680 --> 00:02:49,417","We have gotten a butt ton of writing from Tim."
"00:02:49,881 --> 00:02:52,099","Crook: It's really good writing."
"00:02:52,099 --> 00:02:56,950","And the performances that we've gotten back are really good and so that kind of puts the pressure on you"
"00:02:56,950 --> 00:03:03,310","as an animator that you want to do that writing and those performances justice."
"00:03:04,013 --> 00:03:07,366","So that's, that's pressure, but good pressure."
"00:03:07,366 --> 00:03:09,106","It feels like things are moving smoothly."
"00:03:11,270 --> 00:03:13,115","It feels that way."
"00:03:13,115 --> 00:03:15,150","Anna: We're like finishing in record time."
"00:03:15,150 --> 00:03:21,770","We're actually ahead of schedule in a lot of ways which is like, you know, pretty rare for us because usually we're pretty slammed."
"00:03:22,861 --> 00:03:27,932","Lee: Yes, I can show you some mockups that we're working on in Vella, yeah, yeah."
"00:03:27,932 --> 00:03:30,217","This scene here is where Vella starts."
"00:03:30,217 --> 00:03:37,247","Players have already seen this, you know, the split screen at the very end of the game, and this is kind of what that scene continues as."
"00:03:37,247 --> 00:03:41,312","And then this is the first puzzle you see here is her skill here."
"00:03:41,312 --> 00:03:49,115","So this is a fairly elaborate puzzle that the player has to hit, and so a lot of this is just breakdowns of how it all works."
"00:03:49,115 --> 00:03:52,548","So we have the Hex Pals are returning."
"00:03:52,548 --> 00:03:56,628","Of course. I love the Hex Pals so I'm hoping to do more with them this time."
"00:03:56,628 --> 00:04:02,637","I think the Hex Pals and the Spoon, that stuff was all the big hits, like the surprise, like everyone loved these little side characters."
"00:04:02,637 --> 00:04:08,252","We have now heard a lot more feedback on that first act than you ever would if you were just gonna release it at once"
"00:04:08,252 --> 00:04:10,678","because it's been out in the wild and people have lived with it."
"00:04:10,678 --> 00:04:14,239","We've lived it for a while so we have more perspective on it."
"00:04:14,239 --> 00:04:21,767","Maybe that means the choices we're making for Act 2 are just a little bit better formed than they would've been if it was just,"
"00:04:21,767 --> 00:04:23,469","you know, one big push."
"00:04:23,469 --> 00:04:28,203","And then just a lot of scenes in Act 2, I can walk you around some of those if you want to see."
"00:04:28,203 --> 00:04:30,488","I can show you some with the spaceship stuff."
"00:04:30,488 --> 00:04:38,069","So we've tried to go through and make it look like you're driving by the countryside and damage some of the rooms."
"00:04:38,069 --> 00:04:39,788","Schafer: Exciting, really going places."
"00:04:39,788 --> 00:04:41,688","Petty: If you go in that doorway on the left there's some ambience there."
"00:04:44,435 --> 00:04:49,275","Schafer: It's too bad we have puzzles in both those places because it'd be funny to see a room that was there before and then just isn't there,"
"00:04:49,275 --> 00:04:51,175","like so the door is open like to the avalanche area."
"00:04:51,180 --> 00:04:52,020","No, we need that one."
"00:04:52,220 --> 00:04:56,980","Or to the like the friendship circle where something just opens and then it just like [explosive noise] just space in there."
"00:04:57,726 --> 00:05:03,681","It could just be you open it and it's just the shards of a room and there's just a bunch of yarn pals hanging on."
"00:05:03,681 --> 00:05:05,041","Aaahh!"
"00:05:05,041 --> 00:05:06,101","They're just stuck out there."
"00:05:06,101 --> 00:05:10,261","Petty: I was thinking that for any of the rooms like that, that we should have the doors and then continue on in animation state"
"00:05:10,261 --> 00:05:11,831","where they can't quite close or open."
"00:05:11,840 --> 00:05:12,360","They're just kinda..."
"00:05:14,202 --> 00:05:15,922","Schafer: They're closing over a severed human foot."
"00:05:16,500 --> 00:05:23,600","Peck: There's some cool game play that's like nonstandard stuff where like you're floating in zero gravity"
"00:05:23,600 --> 00:05:25,894","and so like you play around with the physics of that."
"00:05:25,894 --> 00:05:33,909","So this is one of those instances where we were in a brainstorm meeting and we were like what if the whole ship just like rotated"
"00:05:33,909 --> 00:05:36,505","because it's taking off, right?"
"00:05:36,505 --> 00:05:39,654","And everyone was like, oh shit."
"00:05:39,654 --> 00:05:43,867","Offscreen: Once you solve that and you get up here and the doors open, that's when we do the;"
"00:05:43,867 --> 00:05:46,923","and then we cut to the old scene and now you're floating above it."
"00:05:46,923 --> 00:05:48,301","You're like, how do I get down there?"
"00:05:48,301 --> 00:05:49,441","Schafer: So she could be spinning."
"00:05:49,441 --> 00:05:52,821","So there could be a timing thing that you have to do a certain thing which is aim a certain direction."
"00:05:53,020 --> 00:05:59,057","Petty: We could have like the boy's magnetic boots stuck on the hole, you know, if we wanted to use those somehow."
"00:05:59,057 --> 00:06:02,697","Schafer: And you just like want to drift over to it and grab it and use it to like."
"00:06:02,697 --> 00:06:05,017","Petty: Oh, wait, there's a scarf on the suit."
"00:06:05,820 --> 00:06:08,200","So if you could take the scarf off the floating suit."
"00:06:09,480 --> 00:06:12,160","Peck: Not exactly your typical adventure game."
"00:06:12,740 --> 00:06:14,360","Walk to ""A"" to ""B""."
"00:06:16,485 --> 00:06:18,985","Crap, I missed it. It's a timing puzzle."
"00:06:18,985 --> 00:06:22,601","You have to like line up the rotations of these two things."
"00:06:22,601 --> 00:06:24,799","Damn it. I missed it again."
"00:06:24,799 --> 00:06:32,525","I anticipate a lot of amazing play testing feedback from this with people being like fuck that mini game."
"00:06:32,525 --> 00:06:40,477","We've also had to think outside the box in terms of like, especially because we're reusing environments so we can't just make"
"00:06:40,477 --> 00:06:43,469","a new environment that supports really difficult puzzles."
"00:06:43,469 --> 00:06:47,270","We have to use the environments we've already made."
"00:06:47,270 --> 00:06:52,126","And so yeah, we consciously wanted to try and, try and do things that we hadn't done before."
"00:06:52,126 --> 00:06:54,854","Let's have a puzzle that goes across multiple scenes."
"00:06:54,854 --> 00:06:56,912","Let's like rotate the ship."
"00:06:56,912 --> 00:06:59,120","Let's play with the fact that we're on a spaceship."
"00:06:59,120 --> 00:07:00,063","We're in space."
"00:07:00,063 --> 00:07:01,403","Maybe there's no gravity."
"00:07:01,403 --> 00:07:07,340","There's this really weird plot device that we have in Act 1 where like the mom could magically manipulate everything on the ship."
"00:07:07,340 --> 00:07:09,631","What if Vella could gain access to that system?"
"00:07:09,631 --> 00:07:12,172","Like, that's a really cool idea to pursue."
"00:07:12,172 --> 00:07:17,674","And like a lot of really great puzzle ideas came out of that kind of, that kind of thinking."
"00:07:17,674 --> 00:07:24,239","Kipnis: It's just like ways to interact with the ship or to see the same space in a completely original context."
"00:07:24,360 --> 00:07:28,853","Schafer: And the team is starting to wire out the first few puzzles for Vella on the spaceship now."
"00:07:29,173 --> 00:07:31,637","That's mostly what was going on."
"00:07:31,637 --> 00:07:33,596","Reds. Unless I forgot something."
"00:07:33,596 --> 00:07:35,476","Anyone want to do anything else?"
"00:07:35,480 --> 00:07:39,899","Okay, now I have to go the bad and not fun part of the meeting where I have some bad news to tell you about,"
"00:07:39,900 --> 00:07:42,426","someone else leaving the company which is never very fun."
"00:07:42,426 --> 00:07:49,046","Isa is leaving and oh, man, come on up here, Isa."
"00:07:49,046 --> 00:07:56,420","Stamos: So I just want to let you know I'll be cheering Double Fine on, and I've loved my time here."
"00:07:57,153 --> 00:08:10,878","[Applause] Schafer: Luckily we have Matt Hanson who was our right-hand man,"
"00:08:11,237 --> 00:08:19,416","and he's stepping right into the role of being the VP of product development so he's doing that job which means he probably has less time"
"00:08:19,416 --> 00:08:21,422","to do producer type stuff on Broken Age."
"00:08:21,422 --> 00:08:24,742","Yeah, I might technically be short a producer."
"00:08:26,036 --> 00:08:28,007","I hadn't thought about that. Now I'm terrified."
"00:08:28,007 --> 00:08:30,227","I'm never gonna make December. We'll see."
"00:08:30,227 --> 00:08:38,216","That'll delay them in making that schedule that says we can't make December so that way I can hopefully get the game done before anyone realizes it's impossible."
"00:08:38,216 --> 00:08:39,296","I think we're gonna make December."
"00:08:41,539 --> 00:08:42,919","We'll never make December."
"00:08:42,919 --> 00:08:45,100","Shut up. Shut up."
"00:08:46,752 --> 00:08:48,792","Ow, that really hurts."
"00:08:55,644 --> 00:08:58,464","Peck: That's like above my pay grade, dude."
"00:08:58,464 --> 00:08:59,970","Russell: Like, what do I think?"
"00:08:59,970 --> 00:09:01,492","Just for me or the whole game?"
"00:09:01,492 --> 00:09:03,521","Offscreen: The whole game I guess."
"00:09:03,521 --> 00:09:05,881","Malena and I think it's gonna be March."
"00:09:05,881 --> 00:09:09,580","I'm not sure who thought ever December was really gonna be it."
"00:09:09,580 --> 00:09:11,478","Offscreen: Tim. Russell: Yeah."
"00:09:11,520 --> 00:09:14,108","Kipnis: Yeah, I don't, I don't actually know the release date at this point."
"00:09:14,108 --> 00:09:20,084","I think it's gonna be largely driven by how long it takes for all of the animations to be final"
"00:09:20,873 --> 00:09:28,713","because the animators are gonna be slammed pretty hard since some of the voice is getting into the game so late unfortunately."
"00:09:28,713 --> 00:09:33,723","Schafer: Yeah, some of the VO talent has been harder to get in the studio than others,"
"00:09:34,196 --> 00:09:41,626","and so you have a couple big characters that have yet to be recorded and that holds up all the cut scenes."
"00:09:42,512 --> 00:09:49,298","We're looking at cut scene layouts together so that Ray can know whether they're ready to go."
"00:09:49,298 --> 00:09:50,699","What's a layout, Ray?"
"00:09:50,699 --> 00:10:00,240","Crook: A layout is a first pass of the scene with the characters all in their sort of place and with the dialogue timed out."
"00:10:00,240 --> 00:10:03,917","Schafer: The rough cameras, the timing, but none of the animation."
"00:10:03,917 --> 00:10:05,509","Crook: Yeah, none of the animation."
"00:10:05,509 --> 00:10:08,165","Schafer: Whipped Cream Hill fail."
"00:10:08,165 --> 00:10:12,085","Crook: She gets it too."
"00:10:12,085 --> 00:10:12,865","Schafer: Who did that one?"
"00:10:12,865 --> 00:10:13,476","Crook: Miyuki."
"00:10:13,476 --> 00:10:14,496","Schafer: Is it the same?"
"00:10:14,500 --> 00:10:16,020","Crook: It's the exact same rig, yeah."
"00:10:16,700 --> 00:10:19,460","I think it's funny that it's exactly the same."
