"Timecode","Content"
"00:00:25,347 --> 00:00:29,341","Cameraman: How are we going to continue making this documentary without spoiling anything?"
"00:00:30,192 --> 00:00:31,249","Schafer: I don't know."
"00:00:31,249 --> 00:00:36,089","People know now if they've, hopefully they're not watching this episode before they finish Act One."
"00:00:37,403 --> 00:00:39,143","You really shouldn't watch this episode."
"00:00:41,100 --> 00:00:42,379","Should we you shoot that now?"
"00:00:42,379 --> 00:00:43,248","Hi. I'm Tim Schafer."
"00:00:43,248 --> 00:00:46,808","Please don't watch this episode until you finish Act One of Broken Age."
"00:00:50,451 --> 00:00:53,663","Offscreen Voice: Backers that play it, or are you more nervous about the money,"
"00:00:53,663 --> 00:00:55,380","like how much it's going to sell?"
"00:00:55,380 --> 00:01:02,323","Schafer: No. I mean, I feel like it's tense about the money because we want it to do well, because I have big plans for Act Two."
"00:01:02,323 --> 00:01:07,457","And if we don't do well, Justin will be like, look, look, we can't, we got to, you know."
"00:01:07,457 --> 00:01:11,916","Because basically, just spending our own money from here on out."
"00:01:11,916 --> 00:01:14,499","And probably like a few months back."
"00:01:14,499 --> 00:01:20,212","So if no one buys the game tomorrow, maybe Act Two will be a much smaller than Act One."
"00:01:22,322 --> 00:01:25,409","I hope one person buys it."
"00:01:25,409 --> 00:01:27,800","If no one buys it, it's going to be really awkward."
"00:01:27,800 --> 00:01:29,847","But I guess that's a good clear, I can say that to the backers."
"00:01:29,847 --> 00:01:33,282","Look, nobody bought it, except for you guys."
"00:01:33,282 --> 00:01:34,722","I'm sorry."
"00:01:36,210 --> 00:01:38,941","But it serves me right for investing our own money in a game."
"00:01:38,941 --> 00:01:40,801","I should have just played with their money."
"00:01:42,664 --> 00:02:10,928","[Music] Schafer: We are launching Red's tomorrow."
"00:02:10,928 --> 00:02:14,182","Crazy times."
"00:02:14,182 --> 00:02:16,802","All of our backers."
"00:02:18,382 --> 00:02:21,044","Thank you to our team for working so hard."
"00:02:21,044 --> 00:02:30,000","We are going to the backers tomorrow and the rest of the general population, future backers, if you will on the 28th."
"00:02:30,000 --> 00:02:31,751","Rice: The game is up."
"00:02:31,751 --> 00:02:33,002","Preorders are up."
"00:02:33,002 --> 00:02:35,156","Schafer: Whoohoo! Rice: Yeah."
"00:02:35,156 --> 00:02:36,873","Schafer: All right, next game."
"00:02:36,873 --> 00:02:38,773","Rice: I will send the press release."
"00:02:43,696 --> 00:02:49,699","One of the reviewers said he didn't go to bed."
"00:02:49,699 --> 00:02:51,047","Finished the game last night."
"00:02:51,047 --> 00:02:52,040","Remo: Finished it last night?"
"00:02:52,040 --> 00:02:53,309","Rice: Yeah. Remo: Wow."
"00:02:53,309 --> 00:02:55,628","Rice: Yeah, I sent the codes at like..."
"00:02:55,628 --> 00:02:57,237","Remo: Did he say how long it took him?"
"00:02:57,237 --> 00:02:58,613","Rice: 4:00 or 5:00 p.m. Remo: Oh, right."
"00:02:58,613 --> 00:03:00,222","Rice: So I mean, I guess there's time."
"00:03:00,222 --> 00:03:02,469","But yeah, he just didn't stop."
"00:03:02,469 --> 00:03:03,309","That's kind of awesome."
"00:03:05,103 --> 00:03:05,947","Schafer: Man, this is weird."
"00:03:05,947 --> 00:03:07,187","People are playing Broken Age."
"00:03:11,270 --> 00:03:13,910","Seven people watching him and I'm one of them."
"00:03:15,781 --> 00:03:17,465","I don't want them to know this is what I do."
"00:03:17,465 --> 00:03:18,469","I've never done this before."
"00:03:18,469 --> 00:03:23,692","We've never been able to do this before and have live streams, like after Grim Fandango."
"00:03:26,467 --> 00:03:30,159","Remo: People are already posting screenshots."
"00:03:30,159 --> 00:03:31,314","Bailey: I'm still waiting."
"00:03:31,314 --> 00:03:34,470","I'm just curious who's going to be the first one to like post a review."
"00:03:34,470 --> 00:03:35,682","Remo: Yeah, right."
"00:03:35,682 --> 00:03:37,349","Rice: Tim, did you hear that? Schafer: What?"
"00:03:37,349 --> 00:03:46,864","Rice: Digital Trends posted an article, ""Why We're Breaking the Broken Age Embargo."" And how they're going to review it."
"00:03:46,864 --> 00:03:49,142","Schafer: Well, what embargo are they breaking?"
"00:03:49,142 --> 00:03:49,933","Rice: The review embargo."
"00:03:49,933 --> 00:03:52,123","They're going to put a review up."
"00:03:52,123 --> 00:03:53,525","Schafer: They're just announcing they're going to break it?"
"00:03:53,525 --> 00:03:55,761","Rice: Yeah. Schafer: Why?"
"00:03:55,761 --> 00:03:58,666","Rice: Because they paid for the game and they're a backer."
"00:03:58,666 --> 00:04:02,784","And they're getting it because they paid for it."
"00:04:02,784 --> 00:04:06,267","Schafer: But we, but they're not, they're in the Beta..."
"00:04:06,267 --> 00:04:08,488","Rice: They haven't reviewed it yet, but Digital Trends, I know."
"00:04:08,488 --> 00:04:10,748","They emailed me about this yesterday and that's what I told them."
"00:04:10,748 --> 00:04:14,453","Remo: Technically no one signed anything so there's nothing we can actually do about it now. Rice: Yeah."
"00:04:14,453 --> 00:04:16,046","Schafer: What do you think about that? Bailey: I'm sorry?"
"00:04:16,046 --> 00:04:17,637","Rice: Yeah, I don't think there's anything we can about it."
"00:04:17,637 --> 00:04:18,743","Bailey: Well, unless we have something in writing."
"00:04:18,744 --> 00:04:21,375","Remo: No, we don't. Embargoes are not really enforceable."
"00:04:21,375 --> 00:04:23,451","Bailey: Exactly. It's a professional..."
"00:04:23,451 --> 00:04:24,738","Remo: I know, I know. It's a courtesy."
"00:04:24,738 --> 00:04:26,324","A professional courtesy, yeah."
"00:04:26,324 --> 00:04:29,565","Schafer: Well, maybe he didn't agree to anything but he knows he's being a shit."
"00:04:29,565 --> 00:04:32,373","Schafer: It's like people don't realize that everything's embargo."
"00:04:32,373 --> 00:04:38,223","Like every review they read has usually been embargoed, because your game's coming out and people want the press for the game"
"00:04:38,223 --> 00:04:41,706","to come up on launch day or around that time people can buy it."
"00:04:41,706 --> 00:04:45,944","'Cause if it comes out before, then all that energy, people see that article, they can't go buy it."
"00:04:45,944 --> 00:04:46,837","So anyway."
"00:04:46,837 --> 00:04:52,697","You want your, you want to time your press to that day, but different reporters can come in at different times"
"00:04:52,697 --> 00:04:57,213","and they're like hey, I want to, you know, just because this guy came in a week early,"
"00:04:57,213 --> 00:04:59,515","does that mean his review gets to go up a week earlier?"
"00:04:59,515 --> 00:05:05,252","So you say it's embargoed, so that all the press has a fair chance of getting their story, not getting scooped or whatever."
"00:05:05,252 --> 00:05:10,191","And they also have time with the build to do a thoughtful build instead of racing to like getting it out early."
"00:05:10,191 --> 00:05:15,874","But we were going out to backers and 90,000 people had the build and I think most of the regular backers were like,"
"00:05:15,874 --> 00:05:17,330","OK, yeah, this is private information."
"00:05:17,330 --> 00:05:19,963","I won't spoil it for people who can't buy it yet."
"00:05:19,963 --> 00:05:21,990","And the press understood it."
"00:05:21,990 --> 00:05:28,983","But there's kind of this grey area of people between backers and press, like a, kind of like a blogger, you know, who's a backer,"
"00:05:28,983 --> 00:05:30,964","who's like, hey, I paid money for this."
"00:05:30,964 --> 00:05:36,677","This guy's amazed to see consumers suggest the press should stick their heads in the sand because Double Fine asked them to nicely."
"00:05:36,677 --> 00:05:39,999","For the evening crowd, the Broken Age embargo's a bit of a joke."
"00:05:39,999 --> 00:05:44,495","Has anyone else contacted you from actual news outlet? Rice: IGN."
"00:05:44,495 --> 00:05:46,553","Schafer: Do they want to review it or just, what'd they say?"
"00:05:46,553 --> 00:05:47,647","Rice: Yeah, it was just yesterday."
"00:05:47,647 --> 00:05:49,981","It's like I just want to be clear on what's expected."
"00:05:49,981 --> 00:05:53,856","He says like I feel like there's so many people that are going to be having the game."
"00:05:53,856 --> 00:05:58,535","Like if other people start running their reviews, we're going to feel like we're going to have to run ours."
"00:05:58,535 --> 00:06:00,075","That's basically what they said."
"00:06:03,864 --> 00:06:07,804","Schafer: Why don't we just let the people who are not being jerks about it break the embargo?"
"00:06:07,804 --> 00:06:08,829","Rice: We can't do that."
"00:06:08,829 --> 00:06:12,127","Schafer: And that would scoop all the people who are being jerks about it."
"00:06:12,127 --> 00:06:14,763","Why, we can't do that?"
"00:06:14,763 --> 00:06:17,674","Rice: I don't know how to enforce that."
"00:06:17,674 --> 00:06:21,544","Schafer: Just pick the ones that are being nice about it and just tell them they can."
"00:06:21,544 --> 00:06:24,986","Then one day later tell everyone else."
"00:06:24,986 --> 00:06:31,815","Rice: Yeah. I think that only serves to inflate the issue, because then they think the embargo is still there"
"00:06:31,815 --> 00:06:34,906","and then it's being broken and then it's a mess."
"00:06:34,906 --> 00:06:37,972","So I think we have to, Schafer: It's kind of a mess, though, I think now."
"00:06:37,972 --> 00:06:42,272","Rice: Well, then, that's the case and I think we have to talk about lifting it."
"00:06:44,521 --> 00:06:49,523","And then I'm fine like, I've been saving the list of people I've emailed all the review stuff"
"00:06:49,523 --> 00:06:56,443","so it would really be like a two second Kickstarter update and emailing them all, if you want to just totally lift things."
"00:06:59,595 --> 00:07:02,635","Schafer: Maybe we could just open it in a couple days, kind of."
"00:07:02,635 --> 00:07:04,052","Rice: Just sit on it for a second and see."
"00:07:04,052 --> 00:07:06,161","Schafer: Yeah. Rice: OK."
"00:07:06,161 --> 00:07:08,528","Schafer: God, that embargo's a disaster."
