Timecode,Content
"00:00:00,440 --> 00:00:24,840",[Music] Petty: So I can double-check that he put everything up.
"00:00:25,380 --> 00:00:30,660","The rest of them, I'm going to scan them all, yeah, so we can have them."
"00:00:30,660 --> 00:00:32,560","We have a, you know, our concept art directory."
"00:00:32,560 --> 00:00:41,640","You know, in theory if all the puzzles were done and the things were decided on, we could actually make a pretty functional game with really rough art early on"
"00:00:41,640 --> 00:00:45,966",to sort of unblock the puzzle design or implementation.
"00:00:45,966 --> 00:00:49,054","And some of the systems work, which would be nice."
"00:00:49,060 --> 00:00:49,838",I'm not sure.
"00:00:49,840 --> 00:00:53,580","I'm a big fan of working that way, but I'm not sure if we'll be able to do it for this project or not."
"00:00:53,580 --> 00:00:56,800",We'll have to see how that works out.
"00:01:04,340 --> 00:01:32,316",[Music] Rice: Yep.
"00:01:32,320 --> 00:01:36,317","If you're always showing this board, won't they get spoilers from the board?"
"00:01:36,320 --> 00:01:41,300","So just to bring us up to date, I need another location for the cloud nest."
"00:01:41,300 --> 00:01:43,360",Things that came up from the art jam.
"00:01:43,880 --> 00:01:45,580",Cloud nests.
"00:01:45,840 --> 00:01:48,160",Rice: You can tell that that's going to look awesome.
"00:01:49,060 --> 00:01:51,120","Schafer: The first thing Peter mentioned, too."
"00:01:51,820 --> 00:01:53,680","Rice: Yeah, I think he drew that the first day."
"00:01:57,000 --> 00:01:59,980",Schafer: And then the other one is the dead-eye pyramid.
"00:02:02,020 --> 00:02:03,440",Rice: Why is it dead-eye?
"00:02:04,560 --> 00:02:06,860",Schafer: Spoiler. Can't tell you.
"00:02:07,400 --> 00:02:09,760",Rice: I have to play the game to find out?
"00:02:13,960 --> 00:02:18,940",Schafer: These things all still work but maybe this becomes his story.
"00:02:19,320 --> 00:02:22,580",The monster lands move over here.
"00:02:23,300 --> 00:02:25,160",Maybe that moves over there.
"00:02:25,720 --> 00:02:34,840","Rice: What I still am not clear on is, and I don't know if you are, is switching back and forth between these stories"
"00:02:35,060 --> 00:02:36,460",and how we're going to handle that.
"00:02:36,700 --> 00:02:37,780",Schafer: Yeah.
"00:02:38,540 --> 00:02:39,840",I'm putting that off.
"00:02:39,840 --> 00:02:42,102",Rice: Yeah. Start thinking about it.
"00:02:42,260 --> 00:02:47,913","So I'm just wondering then, like if I'm here, here and here and I jump back to this, then what's the world like?"
"00:02:47,920 --> 00:02:54,220",Like why can't I do this and what happens that makes me so I can do this?
"00:02:55,400 --> 00:02:57,680",Schafer: I don't know. I don't know yet.
"00:03:00,760 --> 00:03:02,420",Schafer: I've been a little behind.
"00:03:02,420 --> 00:03:09,663","It's frustrating because I, when the team is waiting for you, that's always frustrating, so."
"00:03:09,663 --> 00:03:10,463",It's always been that way.
"00:03:10,463 --> 00:03:16,080","Like having an absolutely terrifying deadline is the only thing that, makes me get it done."
"00:03:16,420 --> 00:03:24,007","There's just so many other things going on with the company right now that, you know, The Cave is getting to this point where it needs, you know,"
"00:03:24,007 --> 00:03:26,047",it has a dialogue deadline of its own.
"00:03:26,047 --> 00:03:30,227","You know, and do I help with that or do I work on this game?"
"00:03:31,560 --> 00:03:32,480",Suck it!
"00:03:32,480 --> 00:03:48,943",[Monster Roar] Schafer: Peter McConnell's here today.
"00:03:48,943 --> 00:03:51,034",It's fun to see what he's going to add to it.
"00:03:51,040 --> 00:03:52,480",Schafer: So the game.
"00:03:52,480 --> 00:03:53,460","You see, we did some art already."
"00:03:53,460 --> 00:03:59,234","We had art jam with Peter Chan and Scott Campbell and Nathan came to town and hung out with Lee, and did some art."
"00:03:59,360 --> 00:04:00,140",And that's cool.
"00:04:00,140 --> 00:04:01,445",And that corkboard is kind of up-to-date.
"00:04:01,445 --> 00:04:07,111","I could add some as we talk, but we're doing a point and click graphic adventure."
"00:04:07,120 --> 00:04:10,560",I don't know if you heard that. McConnell: Very cool.
"00:04:11,160 --> 00:04:15,249",Schafer: So it doesn't have a high concept in terms of like a heavy metal fantasy world or the Day of the Dead.
"00:04:15,249 --> 00:04:19,386",It's really like a new world that we're making up based on Nathan Stapley's art.
"00:04:19,386 --> 00:04:26,500","You know, just having that cool look and having it be about themes that are different, maybe than other themes."
"00:04:26,500 --> 00:04:28,161",McConnell: Yeah. I've got questions.
"00:04:28,960 --> 00:04:31,736",Schafer: There'll be no questions during this meeting.
"00:04:31,900 --> 00:04:35,160",Schafer: Is Peter McConnell excited to be on the project?
"00:04:35,160 --> 00:04:37,397",You're asking me if he's excited?
"00:04:37,500 --> 00:04:38,321",I think so.
