Timecode,Content
"00:00:32,655 --> 00:00:35,274",Schafer: I need to get accustomed to money being around.
"00:00:35,274 --> 00:00:37,002",That's the thing.
"00:00:37,002 --> 00:00:41,029","This is for the therapy, the physical therapy of getting me used to actually not being afraid of money."
"00:00:41,029 --> 00:00:43,249",Offscreen voice: Richard Branson does the same thing.
"00:00:43,249 --> 00:00:46,755","Schafer: Ah! You guys, what is this stuff that's all over me?"
"00:00:46,755 --> 00:00:48,287",Offscreen voice: Beautiful.
"00:00:48,287 --> 00:00:49,552",Schafer: I can't apply it to myself..
"00:00:49,552 --> 00:00:50,632",Offscreen voice: Oh my God.
"00:00:50,632 --> 00:00:52,113",Schafer: I can't self-terminate.
"00:00:52,113 --> 00:00:53,470",Offscreen voice: Help me apply money.
"00:00:53,470 --> 00:00:55,872",Schafer: I can't self-monetize.
"00:01:23,360 --> 00:01:27,120","Schafer: So this is a more recent, uh point-and-click adventure game."
"00:01:27,186 --> 00:01:29,962","I have to show you someone else's, because I haven't made one in a long time."
"00:01:29,962 --> 00:01:31,565",I used to make them back in the '90s.
"00:01:31,565 --> 00:01:33,569",This is Machinarium.
"00:01:33,569 --> 00:01:35,512",You role play this little robot and you click around.
"00:01:35,512 --> 00:01:41,245","And these kind of games, you walk the character around by clicking on the ground somewhere and pull on this handle here."
"00:01:41,245 --> 00:01:43,987",And then I can make this mine cart come through the room.
"00:01:43,987 --> 00:01:45,529",Shahani: I'm sorry. What's that?
"00:01:45,529 --> 00:01:47,657","Schafer: I pulled this handle, oh, that's right."
"00:01:47,657 --> 00:01:49,968",This doesn't work until I do this.
"00:01:49,968 --> 00:01:52,188",That's what a lot of adventure game playing is like.
"00:01:52,188 --> 00:01:54,622","You're like, oh, this doesn't, why doesn't this work?"
"00:01:54,622 --> 00:01:56,166","Oh, I need this gear first."
"00:01:56,166 --> 00:01:57,984",I need to get the gear on the sprocket.
"00:01:57,984 --> 00:01:59,710","And so they're, they move at a slower pace."
"00:01:59,710 --> 00:02:01,775",And some people really like that.
"00:02:01,775 --> 00:02:10,126",But it also means they're not exactly as attention-getting and as visceral and maybe as a big block buster action game.
"00:02:10,126 --> 00:02:14,565","And it led us to this point now where it's really hard to get one of these games made these days,"
"00:02:14,565 --> 00:02:17,308",or at least get funding for it from a publisher.
"00:02:17,308 --> 00:02:20,513","Shahani: Before getting into all that, what put you on the map?"
"00:02:20,513 --> 00:02:24,919","Like, just describe the game that got you into game famous."
"00:02:24,919 --> 00:02:26,615",Schafer: Game famous.
"00:02:26,615 --> 00:02:30,807","You know, we just, each game we made in the '90s, we got a little more recognition for it."
"00:02:30,807 --> 00:02:34,995","And we were always pretty savvy about getting our names on the box, you know, so we're, hey."
"00:02:34,995 --> 00:02:39,305","You know, you have to kind of act like you're famous before you're famous."
"00:02:41,800 --> 00:02:42,520",That sounds funny.
"00:02:42,660 --> 00:02:45,280",I learned that from an interview with David Lee Roth about Van Halen.
"00:02:45,287 --> 00:02:47,230",Like we always acted like we were hot shit.
"00:02:47,230 --> 00:02:51,145","We had a big hit, Full Throttle, it's called Full Throttle and it sold a million copies"
"00:02:51,145 --> 00:02:54,257",and that was really big for those PC graphic adventures.
"00:02:54,257 --> 00:02:58,941",And then I made a game called Grim Fandango and that won Game of the Year with Game Spot
"00:02:58,941 --> 00:03:01,347",and that was the big thing that helped a lot.
"00:03:01,347 --> 00:03:05,978","Grim Fandango is set in the Land of the Dead, yeah."
"00:03:05,978 --> 00:03:12,050","And it was, it sold about half a million units and it was seen as not being commercially successful."
"00:03:12,050 --> 00:03:14,792",And it was one of the reasons that adventure games died.
"00:03:14,792 --> 00:03:19,468","I mean, I heard a friend of mine, who worked in another game company, saying we tried to get an adventure game made"
"00:03:19,468 --> 00:03:23,350","and they said, well look, you know, Grim Fandango didn't do that well."
"00:03:23,350 --> 00:03:26,493","So obviously, you know, it was a good game, it won Game of the Year."
"00:03:26,493 --> 00:03:31,610","And if Game of the Year can't sell, you know, as many copies as it needs to, then maybe that genre's dead."
