"Timecode","Content","Content_zh"
"00:00:22,399 --> 00:00:26,899","Schafer: It's mostly blank.","Schafer: 大部分都是空白的。"
"00:00:26,899 --> 00:00:30,399","Schafer: Here's the Double Fine Adventure stuff.","Schafer: 這裡是 Double Fine 的冒險遊戲資料。"
"00:00:30,399 --> 00:00:34,833","Let's see how far I got. Let's see.","讓我們看看我完成到哪裡了。看看吧。"
"00:00:34,833 --> 00:00:37,399","It was interesting because I didn't have any ideas for the game.","這很有趣，因為我當時對遊戲沒有任何構想。"
"00:00:37,399 --> 00:00:39,100","You know, I was just thinking what it was going to be about.","你知道，我只是在思考它將要講述什麼。"
"00:00:39,100 --> 00:00:41,000","And on the first day I sat down and wrote.","然後在第一天，我坐下來開始寫作。"
"00:00:41,000 --> 00:00:42,666","There's nothing on the first page.","第一頁上什麼都沒有。"
"00:00:42,666 --> 00:00:44,633","And then I write about the end of the second page.","然後我在第二頁的末尾寫了一些內容。"
"00:00:44,633 --> 00:00:48,633","The start of the third page, basically I had the idea of the entire game.","到了第三頁的開頭，基本上我已經有了整個遊戲的構想。"
"00:00:48,633 --> 00:01:20,466","[music] Schafer: March 13th.","[音樂] Schafer: 三月十三日。"
"00:01:20,466 --> 00:01:22,766","Offscreen Voice: It's been exactly a month, actually.","螢幕外的聲音: 其實已經滿一個月了。"
"00:01:22,766 --> 00:01:24,433","Schafer: Oh, it's been exactly a month. What happened since then?","Schafer: 哦，已經滿一個月了。自那時起發生了什麼？"
"00:01:24,433 --> 00:01:27,433","Schafer: It's funny.","Schafer: 有趣。"
"00:01:27,433 --> 00:01:31,666","I told people, everyone, a lot of people thought that we'd already had an idea for a game.","我告訴大家，很多人以為我們已經有了遊戲的構想。"
"00:01:31,666 --> 00:01:36,200","Dutton: I guess what we know about it, it's going to be 2-D and it's going to be kind of old school.","Dutton: 我猜我們所知道的是，它將會是2D的，並且有點復古風格。"
"00:01:36,200 --> 00:01:41,466","Can you give us any other little tidbits about what you've got in store?","能否給我們一些你們未來計劃的其他小資訊？"
"00:01:41,466 --> 00:01:46,500","Schafer: I was just trying to think of a fake tidbit to give you, like it's all going to be about chinchillas.","Schafer: 我只是在想一個假的小資訊來告訴你們，比如說這一切都將圍繞著毛絲鼠。"
"00:01:46,500 --> 00:01:48,000","Did I mention that? I mean, it's obvious.","我有提到嗎？我是說，這很明顯。"
"00:01:48,000 --> 00:01:51,500","As soon as you said \"old school adventure\", it's going to be mostly chinchilla based, lot of fur tech.","一說到「復古冒險」，它就主要基於毛絲鼠，會有很多毛皮技術。"
"00:01:51,500 --> 00:01:56,299","There's going to be a lot of nudity, super-violent.","會有很多裸體，超暴力。"
"00:01:56,299 --> 00:01:59,633","It's going to be the first actual snuff game.","這將是第一款真正的刪減遊戲。"
"00:01:59,633 --> 00:02:02,133","I think that's pretty out, that was clear in the Kickstarter pitch.","我想那已經非常明顯了，在 Kickstarter 的提案中也說得很清楚。"
"00:02:02,133 --> 00:02:03,599","Dutton: Who are you going to kill?","Dutton: 你打算殺誰？"
"00:02:03,599 --> 00:02:05,033","Schafer: The team.","Schafer: 團隊成員。"
"00:02:05,033 --> 00:02:06,900","Dutton: All of them? Ron, as well?","Dutton: 全部嗎？包括 Ron？"
"00:02:06,900 --> 00:02:09,199","Schafer: Yeah. He's only half alive right now anyway.","Schafer: 是的。不管怎樣他現在只活一半。"
"00:02:09,199 --> 00:02:12,766","A lot of people thought we had an idea for a game or a game all designed, ready to go.","很多人以為我們已經有了一個遊戲的構想，或者一個完整設計好的遊戲，準備開始。"
"00:02:12,766 --> 00:02:14,400","And they're like, of course, they're not idiots.","他們會覺得，當然，畢竟他們不是傻瓜。"
"00:02:14,400 --> 00:02:15,900","They're going to have something ready to go.","他們會準備好一些東西。"
"00:02:15,900 --> 00:02:17,099","And I was like, no.","而我就說，不。"
"00:02:17,099 --> 00:02:21,433","'Cause I want to do all this, like you know, we're going to document everything and start when the cameras are rolling.","因為我想做這一切，你知道，我們將記錄一切，並在攝影機開始錄影時才開始。"
"00:02:21,433 --> 00:02:23,199","We're going to document the whole thing.","我們將記錄整個過程。"
"00:02:23,199 --> 00:02:24,800","And so I didn't have an idea.","所以我當時沒有構想。"
"00:02:24,800 --> 00:02:29,966","And I was a little scared, except for, I think it's just because now I've been you know, doing this for a long time.","我有點害怕，除了，我想這只是因為我已經做這個很久了。"
"00:02:29,966 --> 00:02:34,866","I have, you got a certain amount of faith that you will sit down and the ideas will come.","我有，你有一定的信念，認為只要坐下來，靈感就會來。"
"00:02:34,866 --> 00:02:39,366","Because they come if you just put enough time sitting down with the notebook, writing.","因為如果你花足夠多的時間坐下來，拿著筆記本寫作，靈感就會來。"
"00:02:39,366 --> 00:02:40,733","Something will happen.","會有事情發生。"
"00:02:40,733 --> 00:02:42,699","And this is like the first entry in the notebook.","這就像是筆記本中的第一條記錄。"
"00:02:42,699 --> 00:02:48,500","It's dated 3-15, which I think is the day, it's the day after it closed.","日期是3月15日，我想那是結束後的那一天。"
"00:02:49,400 --> 00:02:58,266","This morning I came in and this is like the first time I've I had a day after the Kick Starter ended.","今天早上我進來，這是 Kickstarter 結束後的第一天。"
"00:02:58,266 --> 00:03:02,366","So I thought I'd just actually get to work on this game that we're working on.","所以我想我會真正開始著手我們正在開發的這款遊戲。"
"00:03:02,366 --> 00:03:06,233","So the first thing I do when I'm working on a game, is I start writing.","所以當我在開發一款遊戲時，我做的第一件事就是開始寫作。"
"00:03:06,233 --> 00:03:09,766","These are all my notebooks.","這些都是我的筆記本。"
"00:03:09,766 --> 00:03:14,233","I just started a new notebook and it's already covered with stickers.","我剛開始用一本新筆記本，已經貼滿了貼紙。"
"00:03:14,233 --> 00:03:17,233","And I start writing, so...","然後我開始寫，所以……"
"00:03:17,233 --> 00:03:24,000","And I sat down, and the first page is me thinking about a code name for the game.","我坐下來，第一頁是我在思考遊戲的代號。"
"00:03:24,000 --> 00:03:28,833","Then I'm talking about some girls in the sixth grade for some reason.","然後出於某種原因，我在談論六年級的幾個女孩。"
"00:03:28,833 --> 00:03:31,933","And then I'm complaining about my memory problems.","然後我在抱怨我的記憶問題。"
"00:03:31,933 --> 00:03:34,933","It's about like, the process of getting ideas out of your head.","這就像是將腦中的想法釋放出來的過程。"
"00:03:34,933 --> 00:03:40,300","So when I'm really disciplined and on it, I will come in every morning and lock myself in my office","所以當我非常自律並專注時，我每天早上都會進來，把自己鎖在辦公室裡"
"00:03:40,300 --> 00:03:43,166","and just do free writing.","然後進行自由寫作。"
"00:03:43,166 --> 00:03:49,966","And free writing is something I actually learned in junior high school, but I started doing a lot in college","而自由寫作是我實際上在初中學到的，但我在大學時開始大量進行"
"00:03:49,966 --> 00:03:53,400","because it's the way of getting past that hump of like the blank page.","因為這是克服像空白頁這樣障礙的方法。"
"00:03:53,400 --> 00:03:55,366","It's kind of intimidating. Want me show you one?","這有點令人畏懼。要我給你看一個嗎？"
"00:03:55,366 --> 00:03:56,666","Scary!","好可怕！"
"00:03:56,666 --> 00:03:59,766","What do you put on here? Oh, god, you know.","你會在這裡寫些什麼？哦，天啊，你知道的。"
"00:03:59,766 --> 00:04:03,500","And then, and then I'm like going over this list of old ideas, like what.","然後，我會翻看這些舊構想的清單，像是什麼。"
"00:04:03,500 --> 00:04:07,633","And then I'm talking about whether I should hire this person, but then, because like, this is ,","然後我在討論是否應該雇用這個人，但因為，這是，"
"00:04:07,633 --> 00:04:09,400","this is where I sit down in the morning and I start writing.","這是我早上坐下來開始寫作的地方。"
