"Timecode","Content","Content_zh"
"00:00:32,655 --> 00:00:35,274","Schafer: I need to get accustomed to money being around.","Schafer: 我需要習慣周遭有金錢存在。"
"00:00:35,274 --> 00:00:37,002","That's the thing.","那就是重點。"
"00:00:37,002 --> 00:00:41,029","This is for the therapy, the physical therapy of getting me used to actually not being afraid of money.","這是為了療法，讓我逐漸適應不再害怕金錢的物理治療。"
"00:00:41,029 --> 00:00:43,249","Offscreen voice: Richard Branson does the same thing.","螢幕外聲音：理查德·布蘭森也是這麼做的。"
"00:00:43,249 --> 00:00:46,755","Schafer: Ah! You guys, what is this stuff that's all over me?","Schafer: 啊！你們這些傢伙，這些東西到底是什麼，怎麼全都沾到我身上了？"
"00:00:46,755 --> 00:00:48,287","Offscreen voice: Beautiful.","螢幕外聲音：漂亮。"
"00:00:48,287 --> 00:00:49,552","Schafer: I can't apply it to myself..","Schafer: 我無法把它塗在自己身上……"
"00:00:49,552 --> 00:00:50,632","Offscreen voice: Oh my God.","螢幕外聲音：天哪。"
"00:00:50,632 --> 00:00:52,113","Schafer: I can't self-terminate.","Schafer: 我無法自我終止。"
"00:00:52,113 --> 00:00:53,470","Offscreen voice: Help me apply money.","螢幕外聲音：幫我處理金錢。"
"00:00:53,470 --> 00:00:55,872","Schafer: I can't self-monetize.","Schafer: 我無法自我貨幣化。"
"00:01:23,360 --> 00:01:27,120","Schafer: So this is a more recent, uh point-and-click adventure game.","Schafer: 這是一款比較新的點擊冒險遊戲。"
"00:01:27,186 --> 00:01:29,962","I have to show you someone else's, because I haven't made one in a long time.","我得給你們看別人的，因為我很久沒做過了。"
"00:01:29,962 --> 00:01:31,565","I used to make them back in the '90s.","我以前在90年代做過這類遊戲。"
"00:01:31,565 --> 00:01:33,569","This is Machinarium.","這是《馬奇納里姆》。"
"00:01:33,569 --> 00:01:35,512","You role play this little robot and you click around.","你扮演這個小機器人，並且點擊四處移動。"
"00:01:35,512 --> 00:01:41,245","And these kind of games, you walk the character around by clicking on the ground somewhere and pull on this handle here.","這類遊戲中，你透過點擊地面某處來移動角色，並拉動這個手柄。"
"00:01:41,245 --> 00:01:43,987","And then I can make this mine cart come through the room.","然後我可以讓這個礦車穿過房間。"
"00:01:43,987 --> 00:01:45,529","Shahani: I'm sorry. What's that?","Shahani: 抱歉，那是什麼？"
"00:01:45,529 --> 00:01:47,657","Schafer: I pulled this handle, oh, that's right.","Schafer: 我拉了這個手柄，哦，對了。"
"00:01:47,657 --> 00:01:49,968","This doesn't work until I do this.","在我這麼做之前，這不起作用。"
"00:01:49,968 --> 00:01:52,188","That's what a lot of adventure game playing is like.","這就是很多冒險遊戲的玩法。"
"00:01:52,188 --> 00:01:54,622","You're like, oh, this doesn't, why doesn't this work?","你會想，哦，這不行，為什麼這不行？"
"00:01:54,622 --> 00:01:56,166","Oh, I need this gear first.","哦，我先需要這個齒輪。"
"00:01:56,166 --> 00:01:57,984","I need to get the gear on the sprocket.","我需要把齒輪安裝在鏈輪上。"
"00:01:57,984 --> 00:01:59,710","And so they're, they move at a slower pace.","所以這些遊戲的進度比較慢。"
"00:01:59,710 --> 00:02:01,775","And some people really like that.","有些人非常喜歡這樣。"
"00:02:01,775 --> 00:02:10,126","But it also means they're not exactly as attention-getting and as visceral and maybe as a big block buster action game.","但這也意味著它們不如大型商業動作遊戲那樣吸引注意力和具有直接的感受。"
"00:02:10,126 --> 00:02:14,565","And it led us to this point now where it's really hard to get one of these games made these days,","這也導致我們現在處於一個很難製作這類遊戲的境地，"
"00:02:14,565 --> 00:02:17,308","or at least get funding for it from a publisher.","或者至少很難從發行商那裡獲得資金。"
"00:02:17,308 --> 00:02:20,513","Shahani: Before getting into all that, what put you on the map?","Shahani: 在談論這些之前，究竟是什麼讓你們成名的？"
"00:02:20,513 --> 00:02:24,919","Like, just describe the game that got you into game famous.","就描述一下讓你們在遊戲界出名的那款遊戲。"
"00:02:24,919 --> 00:02:26,615","Schafer: Game famous.","Schafer: 在遊戲界出名。"
"00:02:26,615 --> 00:02:30,807","You know, we just, each game we made in the '90s, we got a little more recognition for it.","你知道，我們在90年代製作的每一款遊戲，都多了一些認可。"
"00:02:30,807 --> 00:02:34,995","And we were always pretty savvy about getting our names on the box, you know, so we're, hey.","而且我們總是很懂得如何把我們的名字放在盒子上，所以我們就這樣，嘿。"
